0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2014.0,1.0,1.0,28.22,35.06,39.92,0.0,0.0,27.14,33.44,39.92,3.0,23.0,37.04,43.16,55.04,0.0,0.0,31.1,48.92,59.0,0.0,0.0,21.2,29.66,31.1,0.0,0.0,16.16,21.74,26.24,0.0,0.0,15.259999999999998,19.04,30.2,13.0,8.0,20.12,28.22,30.2,10.0,10.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,4.100000000000001,13.64,15.259999999999998,-4.899999999999999,4.459999999999997,12.2,10.220000000000002,17.06,31.1,20.12,29.48,32.0
2014.0,1.0,2.0,27.14,33.44,39.92,3.0,23.0,37.04,43.16,55.04,0.0,0.0,31.1,48.92,59.0,0.0,0.0,21.2,29.66,31.1,0.0,0.0,16.16,21.74,26.24,0.0,0.0,15.259999999999998,19.04,30.2,13.0,8.0,20.12,28.22,30.2,10.0,10.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,-4.899999999999999,4.459999999999997,12.2,10.220000000000002,17.06,31.1,20.12,29.48,32.0,-13.9,12.56,20.12
2014.0,1.0,3.0,37.04,43.16,55.04,0.0,0.0,31.1,48.92,59.0,0.0,0.0,21.2,29.66,31.1,0.0,0.0,16.16,21.74,26.24,0.0,0.0,15.259999999999998,19.04,30.2,13.0,8.0,20.12,28.22,30.2,10.0,10.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,112.0,41.0,-4.899999999999999,4.459999999999997,12.2,10.220000000000002,17.06,31.1,20.12,29.48,32.0,-13.9,12.56,20.12,-13.9,-9.579999999999998,-0.759999999999998
2014.0,1.0,4.0,31.1,48.92,59.0,0.0,0.0,21.2,29.66,31.1,0.0,0.0,16.16,21.74,26.24,0.0,0.0,15.259999999999998,19.04,30.2,13.0,8.0,20.12,28.22,30.2,10.0,10.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,112.0,41.0,-4.899999999999999,4.459999999999997,12.2,0.0,0.0,10.220000000000002,17.06,31.1,20.12,29.48,32.0,-13.9,12.56,20.12,-13.9,-9.579999999999998,-0.759999999999998,-6.880000000000003,2.4800000000000004,16.16
2014.0,1.0,5.0,21.2,29.66,31.1,0.0,0.0,16.16,21.74,26.24,0.0,0.0,15.259999999999998,19.04,30.2,13.0,8.0,20.12,28.22,30.2,10.0,10.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,112.0,41.0,-4.899999999999999,4.459999999999997,12.2,0.0,0.0,10.220000000000002,17.06,31.1,0.0,0.0,20.12,29.48,32.0,-13.9,12.56,20.12,-13.9,-9.579999999999998,-0.759999999999998,-6.880000000000003,2.4800000000000004,16.16,-3.82,8.059999999999999,22.1
2014.0,1.0,6.0,16.16,21.74,26.24,0.0,0.0,15.259999999999998,19.04,30.2,13.0,8.0,20.12,28.22,30.2,10.0,10.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,112.0,41.0,-4.899999999999999,4.459999999999997,12.2,0.0,0.0,10.220000000000002,17.06,31.1,0.0,0.0,20.12,29.48,32.0,259.0,229.0,-13.9,12.56,20.12,-13.9,-9.579999999999998,-0.759999999999998,-6.880000000000003,2.4800000000000004,16.16,-3.82,8.059999999999999,22.1,22.1,28.94,37.94
2014.0,1.0,7.0,15.259999999999998,19.04,30.2,13.0,8.0,20.12,28.22,30.2,10.0,10.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,112.0,41.0,-4.899999999999999,4.459999999999997,12.2,0.0,0.0,10.220000000000002,17.06,31.1,0.0,0.0,20.12,29.48,32.0,259.0,229.0,-13.9,12.56,20.12,20.0,15.0,-13.9,-9.579999999999998,-0.759999999999998,-6.880000000000003,2.4800000000000004,16.16,-3.82,8.059999999999999,22.1,22.1,28.94,37.94,33.98,38.66,42.08
2014.0,1.0,8.0,20.12,28.22,30.2,10.0,10.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,112.0,41.0,-4.899999999999999,4.459999999999997,12.2,0.0,0.0,10.220000000000002,17.06,31.1,0.0,0.0,20.12,29.48,32.0,259.0,229.0,-13.9,12.56,20.12,20.0,15.0,-13.9,-9.579999999999998,-0.759999999999998,0.0,0.0,-6.880000000000003,2.4800000000000004,16.16,-3.82,8.059999999999999,22.1,22.1,28.94,37.94,33.98,38.66,42.08,33.08,34.7,37.04
2014.0,1.0,9.0,12.2,18.68,22.1,0.0,0.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,112.0,41.0,-4.899999999999999,4.459999999999997,12.2,0.0,0.0,10.220000000000002,17.06,31.1,0.0,0.0,20.12,29.48,32.0,259.0,229.0,-13.9,12.56,20.12,20.0,15.0,-13.9,-9.579999999999998,-0.759999999999998,0.0,0.0,-6.880000000000003,2.4800000000000004,16.16,0.0,0.0,-3.82,8.059999999999999,22.1,22.1,28.94,37.94,33.98,38.66,42.08,33.08,34.7,37.04,33.98,39.02,44.96
2014.0,1.0,10.0,8.240000000000002,19.4,24.26,8.0,3.0,5.18,11.66,19.22,0.0,0.0,18.14,21.02,29.12,0.0,0.0,19.22,21.38,22.1,196.0,122.0,15.259999999999998,21.2,25.16,25.0,8.0,5.18,15.259999999999998,21.2,25.0,20.0,14.18,20.48,27.14,15.0,8.0,21.2,24.98,30.2,3.0,0.0,25.16,31.64,39.92,0.0,0.0,33.98,36.68,41.0,0.0,86.0,32.0,34.52,35.06,0.0,224.0,33.08,34.52,39.02,0.0,64.0,23.18,32.18,35.06,3.0,5.0,12.2,19.94,23.18,5.0,0.0,11.12,17.96,25.16,5.0,3.0,24.26,26.06,29.12,41.0,13.0,26.24,30.74,39.02,3.0,0.0,31.1,38.3,46.94,0.0,0.0,23.18,38.84,44.06,0.0,0.0,14.18,20.66,23.18,3.0,0.0,15.259999999999998,18.32,23.18,38.0,20.0,11.12,14.36,17.240000000000002,163.0,76.0,4.100000000000001,13.64,15.259999999999998,112.0,41.0,-4.899999999999999,4.459999999999997,12.2,0.0,0.0,10.220000000000002,17.06,31.1,0.0,0.0,20.12,29.48,32.0,259.0,229.0,-13.9,12.56,20.12,20.0,15.0,-13.9,-9.579999999999998,-0.759999999999998,0.0,0.0,-6.880000000000003,2.4800000000000004,16.16,0.0,0.0,-3.82,8.059999999999999,22.1,15.0,8.0,22.1,28.94,37.94,33.98,38.66,42.08,33.08,34.7,37.04,33.98,39.02,44.96,25.16,35.42,39.02
