0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2014.0,1.0,1.0,33.08,34.88,37.04,0.0,3.0,28.22,37.94,46.04,0.0,0.0,23.18,33.08,39.92,0.0,0.0,24.26,30.74,37.04,0.0,5.0,33.08,40.1,46.04,0.0,46.0,22.1,34.7,37.94,13.0,33.0,19.22,25.880000000000003,29.12,0.0,0.0,25.16,28.94,35.06,18.0,64.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,-5.799999999999997,4.280000000000001,12.2,-9.759999999999998,-0.9400000000000048,9.14,-13.9,0.8599999999999959,23.18,4.100000000000001,17.96,32.0
2014.0,1.0,2.0,28.22,37.94,46.04,0.0,0.0,23.18,33.08,39.92,0.0,0.0,24.26,30.74,37.04,0.0,5.0,33.08,40.1,46.04,0.0,46.0,22.1,34.7,37.94,13.0,33.0,19.22,25.880000000000003,29.12,0.0,0.0,25.16,28.94,35.06,18.0,64.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,-9.759999999999998,-0.9400000000000048,9.14,-13.9,0.8599999999999959,23.18,4.100000000000001,17.96,32.0,29.12,38.48,50.0
2014.0,1.0,3.0,23.18,33.08,39.92,0.0,0.0,24.26,30.74,37.04,0.0,5.0,33.08,40.1,46.04,0.0,46.0,22.1,34.7,37.94,13.0,33.0,19.22,25.880000000000003,29.12,0.0,0.0,25.16,28.94,35.06,18.0,64.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,221.0,112.0,-9.759999999999998,-0.9400000000000048,9.14,-13.9,0.8599999999999959,23.18,4.100000000000001,17.96,32.0,29.12,38.48,50.0,5.18,21.02,29.12
2014.0,1.0,4.0,24.26,30.74,37.04,0.0,5.0,33.08,40.1,46.04,0.0,46.0,22.1,34.7,37.94,13.0,33.0,19.22,25.880000000000003,29.12,0.0,0.0,25.16,28.94,35.06,18.0,64.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,221.0,112.0,-9.759999999999998,-0.9400000000000048,9.14,81.0,48.0,-13.9,0.8599999999999959,23.18,4.100000000000001,17.96,32.0,29.12,38.48,50.0,5.18,21.02,29.12,4.100000000000001,10.04,21.2
2014.0,1.0,5.0,33.08,40.1,46.04,0.0,46.0,22.1,34.7,37.94,13.0,33.0,19.22,25.880000000000003,29.12,0.0,0.0,25.16,28.94,35.06,18.0,64.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,221.0,112.0,-9.759999999999998,-0.9400000000000048,9.14,81.0,48.0,-13.9,0.8599999999999959,23.18,0.0,0.0,4.100000000000001,17.96,32.0,29.12,38.48,50.0,5.18,21.02,29.12,4.100000000000001,10.04,21.2,5.18,16.520000000000003,26.24
2014.0,1.0,6.0,22.1,34.7,37.94,13.0,33.0,19.22,25.880000000000003,29.12,0.0,0.0,25.16,28.94,35.06,18.0,64.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,221.0,112.0,-9.759999999999998,-0.9400000000000048,9.14,81.0,48.0,-13.9,0.8599999999999959,23.18,0.0,0.0,4.100000000000001,17.96,32.0,0.0,8.0,29.12,38.48,50.0,5.18,21.02,29.12,4.100000000000001,10.04,21.2,5.18,16.520000000000003,26.24,3.1999999999999993,15.44,30.2
2014.0,1.0,7.0,19.22,25.880000000000003,29.12,0.0,0.0,25.16,28.94,35.06,18.0,64.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,221.0,112.0,-9.759999999999998,-0.9400000000000048,9.14,81.0,48.0,-13.9,0.8599999999999959,23.18,0.0,0.0,4.100000000000001,17.96,32.0,0.0,8.0,29.12,38.48,50.0,0.0,343.0,5.18,21.02,29.12,4.100000000000001,10.04,21.2,5.18,16.520000000000003,26.24,3.1999999999999993,15.44,30.2,29.12,33.98,50.0
2014.0,1.0,8.0,25.16,28.94,35.06,18.0,64.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,221.0,112.0,-9.759999999999998,-0.9400000000000048,9.14,81.0,48.0,-13.9,0.8599999999999959,23.18,0.0,0.0,4.100000000000001,17.96,32.0,0.0,8.0,29.12,38.48,50.0,0.0,343.0,5.18,21.02,29.12,0.0,0.0,4.100000000000001,10.04,21.2,5.18,16.520000000000003,26.24,3.1999999999999993,15.44,30.2,29.12,33.98,50.0,35.06,45.32,51.08
2014.0,1.0,9.0,20.12,29.84,33.08,5.0,3.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,221.0,112.0,-9.759999999999998,-0.9400000000000048,9.14,81.0,48.0,-13.9,0.8599999999999959,23.18,0.0,0.0,4.100000000000001,17.96,32.0,0.0,8.0,29.12,38.48,50.0,0.0,343.0,5.18,21.02,29.12,0.0,0.0,4.100000000000001,10.04,21.2,0.0,0.0,5.18,16.520000000000003,26.24,3.1999999999999993,15.44,30.2,29.12,33.98,50.0,35.06,45.32,51.08,29.12,37.04,42.98
2014.0,1.0,10.0,17.240000000000002,23.72,30.2,0.0,3.0,10.220000000000002,18.32,21.2,0.0,0.0,6.259999999999998,16.88,26.24,0.0,0.0,3.1999999999999993,8.420000000000002,14.18,46.0,38.0,6.259999999999998,14.18,21.2,269.0,244.0,6.259999999999998,18.14,25.16,0.0,0.0,-5.799999999999997,6.800000000000001,14.18,229.0,142.0,12.2,19.58,31.1,3.0,5.0,21.2,27.14,35.96,0.0,0.0,26.24,32.36,44.96,0.0,0.0,33.08,34.88,37.94,0.0,23.0,27.14,32.18,35.06,0.0,79.0,27.14,28.76,33.08,0.0,69.0,16.16,29.66,33.08,0.0,0.0,5.18,14.54,20.12,0.0,0.0,12.2,18.32,25.16,51.0,51.0,7.16,20.84,32.0,0.0,0.0,18.14,27.14,37.04,0.0,0.0,20.12,29.3,35.06,33.0,221.0,8.240000000000002,28.76,35.06,0.0,0.0,1.2199999999999989,7.879999999999999,13.1,0.0,3.0,0.1400000000000041,11.66,22.1,0.0,0.0,-5.799999999999997,4.280000000000001,12.2,221.0,112.0,-9.759999999999998,-0.9400000000000048,9.14,81.0,48.0,-13.9,0.8599999999999959,23.18,0.0,0.0,4.100000000000001,17.96,32.0,0.0,8.0,29.12,38.48,50.0,0.0,343.0,5.18,21.02,29.12,0.0,0.0,4.100000000000001,10.04,21.2,0.0,0.0,5.18,16.520000000000003,26.24,0.0,0.0,3.1999999999999993,15.44,30.2,29.12,33.98,50.0,35.06,45.32,51.08,29.12,37.04,42.98,39.02,42.44,44.96
