0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2014.0,1.0,1.0,46.04,54.86,62.059999999999995,0.0,0.0,46.04,54.32,55.94,0.0,0.0,39.02,48.379999999999995,51.98,0.0,0.0,35.06,43.7,51.08,0.0,0.0,37.04,44.78,53.06,0.0,74.0,37.94,49.28,51.98,0.0,15.0,35.96,42.260000000000005,46.94,0.0,0.0,35.96,42.98,51.98,0.0,0.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,42.98,50.72,62.059999999999995,44.06,52.34,64.04,42.98,52.52,66.02,44.06,55.4,66.02
2014.0,1.0,2.0,46.04,54.32,55.94,0.0,0.0,39.02,48.379999999999995,51.98,0.0,0.0,35.06,43.7,51.08,0.0,0.0,37.04,44.78,53.06,0.0,74.0,37.94,49.28,51.98,0.0,15.0,35.96,42.260000000000005,46.94,0.0,0.0,35.96,42.98,51.98,0.0,0.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,44.06,52.34,64.04,42.98,52.52,66.02,44.06,55.4,66.02,44.06,52.34,60.08
2014.0,1.0,3.0,39.02,48.379999999999995,51.98,0.0,0.0,35.06,43.7,51.08,0.0,0.0,37.04,44.78,53.06,0.0,74.0,37.94,49.28,51.98,0.0,15.0,35.96,42.260000000000005,46.94,0.0,0.0,35.96,42.98,51.98,0.0,0.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,0.0,0.0,44.06,52.34,64.04,42.98,52.52,66.02,44.06,55.4,66.02,44.06,52.34,60.08,46.04,53.24,60.98
2014.0,1.0,4.0,35.06,43.7,51.08,0.0,0.0,37.04,44.78,53.06,0.0,74.0,37.94,49.28,51.98,0.0,15.0,35.96,42.260000000000005,46.94,0.0,0.0,35.96,42.98,51.98,0.0,0.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,0.0,0.0,44.06,52.34,64.04,0.0,0.0,42.98,52.52,66.02,44.06,55.4,66.02,44.06,52.34,60.08,46.04,53.24,60.98,51.98,55.04,59.0
2014.0,1.0,5.0,37.04,44.78,53.06,0.0,74.0,37.94,49.28,51.98,0.0,15.0,35.96,42.260000000000005,46.94,0.0,0.0,35.96,42.98,51.98,0.0,0.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,0.0,0.0,44.06,52.34,64.04,0.0,0.0,42.98,52.52,66.02,0.0,0.0,44.06,55.4,66.02,44.06,52.34,60.08,46.04,53.24,60.98,51.98,55.04,59.0,51.98,54.14,60.08
2014.0,1.0,6.0,37.94,49.28,51.98,0.0,15.0,35.96,42.260000000000005,46.94,0.0,0.0,35.96,42.98,51.98,0.0,0.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,0.0,0.0,44.06,52.34,64.04,0.0,0.0,42.98,52.52,66.02,0.0,0.0,44.06,55.4,66.02,0.0,0.0,44.06,52.34,60.08,46.04,53.24,60.98,51.98,55.04,59.0,51.98,54.14,60.08,48.02,53.24,60.08
2014.0,1.0,7.0,35.96,42.260000000000005,46.94,0.0,0.0,35.96,42.98,51.98,0.0,0.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,0.0,0.0,44.06,52.34,64.04,0.0,0.0,42.98,52.52,66.02,0.0,0.0,44.06,55.4,66.02,0.0,0.0,44.06,52.34,60.08,0.0,0.0,46.04,53.24,60.98,51.98,55.04,59.0,51.98,54.14,60.08,48.02,53.24,60.08,46.04,50.9,57.92
2014.0,1.0,8.0,35.96,42.98,51.98,0.0,0.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,0.0,0.0,44.06,52.34,64.04,0.0,0.0,42.98,52.52,66.02,0.0,0.0,44.06,55.4,66.02,0.0,0.0,44.06,52.34,60.08,0.0,0.0,46.04,53.24,60.98,0.0,0.0,51.98,55.04,59.0,51.98,54.14,60.08,48.02,53.24,60.08,46.04,50.9,57.92,46.04,51.620000000000005,60.08
2014.0,1.0,9.0,33.98,43.52,51.98,0.0,0.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,0.0,0.0,44.06,52.34,64.04,0.0,0.0,42.98,52.52,66.02,0.0,0.0,44.06,55.4,66.02,0.0,0.0,44.06,52.34,60.08,0.0,0.0,46.04,53.24,60.98,0.0,0.0,51.98,55.04,59.0,0.0,3.0,51.98,54.14,60.08,48.02,53.24,60.08,46.04,50.9,57.92,46.04,51.620000000000005,60.08,42.08,55.04,66.92
2014.0,1.0,10.0,37.94,45.68,57.02,0.0,0.0,37.94,46.94,53.96,0.0,0.0,39.92,48.379999999999995,53.06,0.0,0.0,39.02,48.379999999999995,60.98,0.0,0.0,39.92,49.64,60.08,0.0,0.0,42.98,52.52,64.94,0.0,0.0,46.04,52.34,59.0,0.0,0.0,44.06,52.16,57.02,0.0,0.0,46.94,52.16,59.0,0.0,0.0,39.92,50.72,60.08,0.0,0.0,46.94,52.34,60.08,0.0,0.0,42.98,51.08,64.94,0.0,0.0,44.06,52.52,60.08,0.0,0.0,44.96,52.34,59.0,0.0,0.0,42.08,52.52,62.959999999999994,0.0,0.0,42.98,51.620000000000005,62.059999999999995,0.0,0.0,42.98,51.620000000000005,57.02,0.0,0.0,39.92,50.18,62.959999999999994,0.0,0.0,42.08,54.86,68.0,0.0,0.0,42.08,51.44,59.0,0.0,0.0,41.0,49.1,59.0,0.0,0.0,41.0,48.56,55.94,0.0,0.0,42.98,50.72,62.059999999999995,0.0,0.0,44.06,52.34,64.04,0.0,0.0,42.98,52.52,66.02,0.0,0.0,44.06,55.4,66.02,0.0,0.0,44.06,52.34,60.08,0.0,0.0,46.04,53.24,60.98,0.0,0.0,51.98,55.04,59.0,0.0,3.0,51.98,54.14,60.08,0.0,0.0,48.02,53.24,60.08,46.04,50.9,57.92,46.04,51.620000000000005,60.08,42.08,55.04,66.92,44.06,55.94,71.96
