0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2014.0,1.0,1.0,35.06,45.32,46.04,0.0,46.0,31.1,37.94,41.0,0.0,0.0,28.22,33.62,39.92,0.0,0.0,23.18,30.56,33.98,0.0,0.0,24.26,30.74,33.98,0.0,0.0,19.22,26.06,32.0,0.0,0.0,20.12,26.06,35.96,0.0,0.0,23.18,28.58,33.98,0.0,0.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,42.98,44.96,51.08,37.04,45.14,48.02,33.08,40.64,46.04,31.1,37.04,46.94
2014.0,1.0,2.0,31.1,37.94,41.0,0.0,0.0,28.22,33.62,39.92,0.0,0.0,23.18,30.56,33.98,0.0,0.0,24.26,30.74,33.98,0.0,0.0,19.22,26.06,32.0,0.0,0.0,20.12,26.06,35.96,0.0,0.0,23.18,28.58,33.98,0.0,0.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,37.04,45.14,48.02,33.08,40.64,46.04,31.1,37.04,46.94,31.1,37.76,46.04
2014.0,1.0,3.0,28.22,33.62,39.92,0.0,0.0,23.18,30.56,33.98,0.0,0.0,24.26,30.74,33.98,0.0,0.0,19.22,26.06,32.0,0.0,0.0,20.12,26.06,35.96,0.0,0.0,23.18,28.58,33.98,0.0,0.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,0.0,41.0,37.04,45.14,48.02,33.08,40.64,46.04,31.1,37.04,46.94,31.1,37.76,46.04,41.0,43.52,46.94
2014.0,1.0,4.0,23.18,30.56,33.98,0.0,0.0,24.26,30.74,33.98,0.0,0.0,19.22,26.06,32.0,0.0,0.0,20.12,26.06,35.96,0.0,0.0,23.18,28.58,33.98,0.0,0.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,0.0,41.0,37.04,45.14,48.02,0.0,15.0,33.08,40.64,46.04,31.1,37.04,46.94,31.1,37.76,46.04,41.0,43.52,46.94,44.96,47.120000000000005,50.0
2014.0,1.0,5.0,24.26,30.74,33.98,0.0,0.0,19.22,26.06,32.0,0.0,0.0,20.12,26.06,35.96,0.0,0.0,23.18,28.58,33.98,0.0,0.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,0.0,41.0,37.04,45.14,48.02,0.0,15.0,33.08,40.64,46.04,0.0,0.0,31.1,37.04,46.94,31.1,37.76,46.04,41.0,43.52,46.94,44.96,47.120000000000005,50.0,42.08,45.86,48.92
2014.0,1.0,6.0,19.22,26.06,32.0,0.0,0.0,20.12,26.06,35.96,0.0,0.0,23.18,28.58,33.98,0.0,0.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,0.0,41.0,37.04,45.14,48.02,0.0,15.0,33.08,40.64,46.04,0.0,0.0,31.1,37.04,46.94,0.0,0.0,31.1,37.76,46.04,41.0,43.52,46.94,44.96,47.120000000000005,50.0,42.08,45.86,48.92,46.94,47.120000000000005,55.04
2014.0,1.0,7.0,20.12,26.06,35.96,0.0,0.0,23.18,28.58,33.98,0.0,0.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,0.0,41.0,37.04,45.14,48.02,0.0,15.0,33.08,40.64,46.04,0.0,0.0,31.1,37.04,46.94,0.0,0.0,31.1,37.76,46.04,0.0,3.0,41.0,43.52,46.94,44.96,47.120000000000005,50.0,42.08,45.86,48.92,46.94,47.120000000000005,55.04,44.96,49.28,57.92
2014.0,1.0,8.0,23.18,28.58,33.98,0.0,0.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,0.0,41.0,37.04,45.14,48.02,0.0,15.0,33.08,40.64,46.04,0.0,0.0,31.1,37.04,46.94,0.0,0.0,31.1,37.76,46.04,0.0,3.0,41.0,43.52,46.94,0.0,122.0,44.96,47.120000000000005,50.0,42.08,45.86,48.92,46.94,47.120000000000005,55.04,44.96,49.28,57.92,42.08,45.86,51.98
2014.0,1.0,9.0,33.08,35.24,42.08,0.0,0.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,0.0,41.0,37.04,45.14,48.02,0.0,15.0,33.08,40.64,46.04,0.0,0.0,31.1,37.04,46.94,0.0,0.0,31.1,37.76,46.04,0.0,3.0,41.0,43.52,46.94,0.0,122.0,44.96,47.120000000000005,50.0,0.0,97.0,42.08,45.86,48.92,46.94,47.120000000000005,55.04,44.96,49.28,57.92,42.08,45.86,51.98,50.0,50.54,51.08
2014.0,1.0,10.0,29.12,36.68,41.0,0.0,0.0,31.1,38.12,42.08,0.0,69.0,42.08,44.06,48.92,0.0,5.0,42.98,46.22,48.92,0.0,0.0,46.94,48.74,53.06,0.0,13.0,39.92,47.84,50.0,0.0,3.0,39.92,42.08,46.94,0.0,0.0,35.96,44.6,46.04,0.0,13.0,32.0,37.58,41.0,0.0,0.0,33.08,35.96,46.94,28.0,56.0,42.08,44.239999999999995,48.02,0.0,56.0,46.94,47.66,51.08,0.0,107.0,42.98,51.08,53.06,0.0,15.0,37.04,44.42,46.94,0.0,0.0,35.06,38.84,44.06,0.0,0.0,33.08,38.84,44.06,0.0,0.0,32.0,37.58,48.02,0.0,3.0,37.94,45.14,48.92,0.0,0.0,35.06,40.28,44.96,0.0,0.0,39.92,41.72,48.02,0.0,3.0,41.0,45.68,46.94,0.0,5.0,37.94,42.260000000000005,44.96,0.0,0.0,42.98,44.96,51.08,0.0,41.0,37.04,45.14,48.02,0.0,15.0,33.08,40.64,46.04,0.0,0.0,31.1,37.04,46.94,0.0,0.0,31.1,37.76,46.04,0.0,3.0,41.0,43.52,46.94,0.0,122.0,44.96,47.120000000000005,50.0,0.0,97.0,42.08,45.86,48.92,0.0,58.0,46.94,47.120000000000005,55.04,44.96,49.28,57.92,42.08,45.86,51.98,50.0,50.54,51.08,44.96,50.36,51.98
