City,Latitude,Longitude,Weather Description,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Sea Level,Ground Level,Wind Speed,Wind Deg,Wind Gust,Clouds All,Datetime,Country,Sunrise,Sunset,Timezone,City ID,City Name
Anchorage,61.2181,-149.9003,mist,15.89,7.3,11.86,19.09,1007,88,1007,1004,5.75,80,N/A,0,1731550011,US,1731520923,1731547568,-32400,5879400,Anchorage
Boise,43.6166,-116.2009,overcast clouds,51.46,48.33,47.35,52.99,1011,43,1011,897,10.36,220,N/A,100,1731550157,US,1731508624,1731543690,-25200,5586437,Boise
Chicago,41.8781,-87.6298,moderate rain,48.15,41.38,47.05,49.08,1012,90,1012,990,18.99,112,25.99,100,1731550339,US,1731501504,1731537093,-21600,4887398,Chicago
Denver,39.7392,-104.9903,overcast clouds,38.97,38.97,36.3,41.14,1017,64,1017,836,1.03,285,0.74,100,1731550170,US,1731505379,1731541553,-25200,5419384,Denver
Detroit,42.3316,-83.0466,overcast clouds,50.38,48.36,48.49,52.07,1019,69,1019,996,1.01,149,1.01,100,1731550361,US,1731500469,1731535929,-18000,4990729,Detroit
Honolulu,21.3069,-157.8583,shower rain,80.83,83.41,77.88,82.22,1018,64,1018,1016,20.71,50,31.07,40,1731550183,US,1731516096,1731556215,-36000,5856195,Honolulu
Houston,29.7589,-95.3677,scattered clouds,73.45,73.65,69.96,76.26,1016,67,1016,1014,5.99,301,20,40,1731550345,US,1731501902,1731540410,-21600,4699066,Houston
Miami,25.7617,-80.1918,scattered clouds,77.61,78.51,76.01,79.02,1017,73,1017,1016,17.27,80,25.32,40,1731550221,US,1731497860,1731537167,-18000,4164138,Miami
Minneapolis,44.9778,-93.265,mist,42.87,41.14,41.41,44.38,1013,95,1013,980,3.44,140,N/A,100,1731550173,US,1731503326,1731537977,-21600,5037649,Minneapolis
Oklahoma City,35.4676,-97.5164,clear sky,54.46,52.34,50.68,55.94,1019,58,1019,975,1.99,293,4,0,1731549600,US,1731503048,1731540296,-21600,4544349,Oklahoma City
Nashville,36.1627,-86.7816,clear sky,60.33,59.45,57.09,62.73,1015,72,1015,993,8.05,150,N/A,0,1731550144,US,1731500553,1731537638,-21600,4644585,Nashville
New York,40.7127,-74.006,clear sky,43.95,37.24,39.78,45.21,1031,45,1031,1029,13.8,10,N/A,0,1731550062,US,1731498069,1731533989,-18000,5128581,New York
Phoenix,33.4484,-112.0741,clear sky,66.15,63.54,63.32,69.82,1016,23,1016,973,3.76,273,3.67,0,1731550351,US,1731506312,1731544020,-25200,5308655,Phoenix
Portland ME,43.6591,-70.2568,clear sky,34.74,25.83,31.14,37.11,1033,46,1033,1030,13,359,21.99,0,1731550381,US,1731497593,1731532664,-18000,4975802,Portland
Portland OR,45.5061,-122.6734,overcast clouds,49.8,45.46,48.04,51.71,1006,90,1006,995,11.01,201,24,100,1731550031,US,1731510476,1731544945,-28800,5746545,Portland
Salt Lake City,40.7578,-111.8911,broken clouds,40.15,36.1,37.42,43.5,1019,63,1019,839,5.75,300,N/A,75,1731549862,US,1731507175,1731543070,-25200,5780993,Salt Lake City
San Diego,32.7157,-117.1611,clear sky,63.59,61.81,60.64,66.38,1017,46,1017,1013,7,310,8.99,0,1731550267,US,1731507452,1731545322,-28800,5391811,San Diego
San Francisco,37.7749,-122.4194,broken clouds,57.34,56.68,55.02,59.38,1019,83,1019,1015,13,113,18.01,78,1731550226,US,1731509311,1731545988,-28800,5391959,San Francisco
Seattle,47.6062,-122.3321,few clouds,49.98,44.64,47.91,51.75,1002,87,1002,992,14.97,170,N/A,20,1731550232,US,1731510751,1731544505,-28800,5809844,Seattle
Washington DC,38.9088,-77.0414,clear sky,40.44,40.44,36.3,42.24,1030,61,1030,1021,1.01,142,1.01,0,1731549840,US,1731498557,1731534958,-18000,4140963,Washington D.C.
