Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Weather Description
2023,12,6,17:00:00,24.46,14.99,21.87,26.35,994,77,8.99,20,,100,light snow
2023,12,6,18:00:00,24.4,16.41,21.56,26.35,995,77,6.91,80,,100,haze
2023,12,6,19:00:00,24.87,16.12,22.08,27.12,996,75,8.05,90,,100,overcast clouds
2023,12,6,20:00:00,24.8,21.18,21.56,27.12,996,75,3.0,40,,100,overcast clouds
2023,12,6,21:00:00,25.12,17.28,22.08,27.32,997,72,6.91,100,,100,overcast clouds
2023,12,6,22:00:00,25.32,16.68,22.55,27.36,997,71,8.05,90,,100,overcast clouds
2023,12,6,23:00:00,25.34,25.34,23.27,27.36,998,72,1.63,307,5.79,100,overcast clouds
2023,12,7,00:00:00,25.32,21.76,22.28,27.36,998,71,3.0,200,,100,overcast clouds
2023,12,7,01:00:00,24.91,16.2,21.87,27.36,999,71,8.01,310,,100,overcast clouds
2023,12,7,02:00:00,23.45,19.65,20.55,26.35,999,74,3.0,310,,100,overcast clouds
2023,12,7,03:00:00,22.39,18.45,19.08,25.32,999,75,3.0,190,,100,overcast clouds
2023,12,7,04:00:00,21.43,15.87,17.85,24.35,999,76,4.0,10,,100,overcast clouds
2023,12,7,05:00:00,19.24,14.88,15.28,22.66,1000,79,3.0,90,,100,overcast clouds
2023,12,7,06:00:00,17.01,9.95,13.08,22.32,1001,81,4.61,90,,0,clear sky
2023,12,7,07:00:00,15.76,9.32,11.28,21.34,1001,81,4.0,90,,0,clear sky
2023,12,7,08:00:00,14.81,9.84,11.64,19.31,1001,82,3.02,102,3.31,8,clear sky
2023,12,7,09:00:00,13.77,8.69,9.64,19.35,1001,83,3.0,70,,7,clear sky
2023,12,7,10:00:00,12.67,7.29,8.58,17.31,1001,85,3.09,86,3.74,7,clear sky
2023,12,7,11:00:00,12.85,7.66,7.68,17.67,1001,82,3.0,50,,6,clear sky
2023,12,7,12:00:00,12.42,12.42,9.55,17.2,1001,82,1.99,61,3.0,6,clear sky
2023,12,7,13:00:00,11.55,6.19,6.39,16.93,1002,83,3.0,60,,4,clear sky
2023,12,7,14:00:00,11.8,6.48,6.69,17.67,1002,83,3.0,50,,9,clear sky
2023,12,7,15:00:00,11.35,2.8,6.1,16.93,1001,84,5.01,80,,12,few clouds
2023,12,7,16:00:00,12.47,5.5,6.69,18.93,1001,83,4.0,40,,20,few clouds
2023,12,7,17:00:00,13.32,4.24,8.56,16.12,1001,86,5.75,40,,100,mist
2023,12,7,18:00:00,13.15,4.06,5.68,19.67,1000,86,5.75,40,,100,light snow
2023,12,7,19:00:00,13.87,4.91,3.13,21.67,1000,84,5.75,20,,100,fog
2023,12,7,20:00:00,15.31,6.62,12.07,22.66,1000,81,5.75,50,,100,fog
2023,12,7,21:00:00,16.3,4.82,12.97,23.65,999,81,9.22,20,,100,fog
2023,12,7,22:00:00,15.64,5.86,11.41,25.65,999,83,6.91,30,,100,mist
