Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather Description
2024,11,10,20:00:00,40.78,40.78,38.07,43.02,1015,78,1.14,92,1.28,100,0.0,0.0,overcast clouds
2024,11,10,21:00:00,40.19,40.19,38.05,42.03,1016,78,1.01,151,1.01,98,0.0,0.0,overcast clouds
2024,11,10,22:00:00,39.42,37.71,36.19,40.77,1016,78,3.0,124,3.0,40,0.0,0.0,scattered clouds
2024,11,10,23:00:00,39.79,36.21,35.64,42.64,1015,83,5.03,118,4.68,98,0.0,0.0,overcast clouds
2024,11,11,00:00:00,45.63,40.08,37.92,47.71,1014,69,11.5,150,,100,0.0,0.0,overcast clouds
2024,11,11,01:00:00,47.43,44.08,44.64,48.78,1014,68,7.0,112,8.01,100,0.0,0.0,overcast clouds
2024,11,11,02:00:00,43.5,41.86,42.71,46.78,1013,71,3.44,80,,75,0.0,0.0,broken clouds
2024,11,11,03:00:00,40.84,36.01,36.19,43.65,1013,72,7.25,106,9.48,100,0.0,0.0,overcast clouds
2024,11,11,04:00:00,43.29,41.11,39.92,45.77,1012,69,4.0,142,5.99,99,0.0,0.0,overcast clouds
2024,11,11,05:00:00,41.61,36.95,37.18,43.05,1011,70,7.25,114,7.0,91,0.0,0.0,overcast clouds
2024,11,11,06:00:00,40.87,40.87,37.92,43.07,1010,72,1.99,286,4.0,99,0.0,0.0,overcast clouds
2024,11,11,07:00:00,41.09,35.91,38.68,44.38,1009,72,8.01,130,12.39,100,0.0,0.0,overcast clouds
2024,11,11,08:00:00,41.85,41.85,38.68,44.38,1009,70,0.0,0,,40,0.0,0.0,scattered clouds
2024,11,11,09:00:00,43.52,39.13,41.5,45.39,1009,65,7.49,141,14.41,96,0.0,0.0,overcast clouds
2024,11,11,10:00:00,49.19,47.26,45.19,50.77,1008,53,5.01,88,5.99,98,0.0,0.0,overcast clouds
2024,11,11,11:00:00,53.26,50.4,48.6,55.78,1008,45,10.0,126,11.99,0,0.0,0.0,clear sky
2024,11,11,12:00:00,54.9,52.02,51.03,56.77,1007,41,11.5,130,,20,0.0,0.0,few clouds
2024,11,11,13:00:00,54.64,51.78,51.13,56.53,1007,42,3.0,348,5.01,100,0.0,0.0,overcast clouds
2024,11,11,14:00:00,50.54,47.64,48.74,51.55,1007,50,8.05,60,,75,0.0,0.0,broken clouds
2024,11,11,15:00:00,51.96,49.26,48.78,54.77,1007,51,1.99,294,1.99,100,0.0,0.0,overcast clouds
2024,11,11,16:00:00,51.21,48.47,47.68,55.71,1005,52,4.0,0,4.0,100,0.0,0.0,overcast clouds
2024,11,11,17:00:00,48.65,48.65,45.91,51.78,1005,58,1.01,258,1.01,100,0.0,0.0,overcast clouds
2024,11,11,18:00:00,46.71,41.92,43.39,48.02,1007,65,10.09,269,17.78,100,0.0,0.0,overcast clouds
2024,11,11,19:00:00,45.86,45.86,42.49,48.7,1008,68,1.01,279,1.99,100,0.0,0.0,overcast clouds
2024,11,11,20:00:00,46.15,43.68,42.93,48.38,1009,70,5.01,297,7.0,100,0.0,0.0,overcast clouds
2024,11,11,21:00:00,43.92,40.42,41.5,46.02,1009,82,5.99,303,7.0,100,1.63,0.0,moderate rain
2024,11,11,22:00:00,42.6,39.52,40.93,44.08,1010,89,5.01,305,7.0,100,2.37,0.0,moderate rain
