Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather Description
2024,11,10,21:00:00,53.06,51.58,51.37,54.12,1011,75,8.01,254,10.0,93,0.0,0.0,overcast clouds
2024,11,10,22:00:00,52.41,51.03,50.49,53.6,1011,78,4.0,272,5.01,50,0.0,0.0,scattered clouds
2024,11,10,23:00:00,51.89,50.54,50.09,53.26,1011,80,7.0,291,8.99,61,0.0,0.0,broken clouds
2024,11,11,00:00:00,52.03,50.74,50.36,53.19,1011,81,5.99,276,8.01,68,0.0,0.0,broken clouds
2024,11,11,01:00:00,51.82,50.47,49.55,53.04,1011,80,1.99,281,1.99,14,0.0,0.0,few clouds
2024,11,11,02:00:00,50.72,49.35,48.67,52.09,1012,82,3.0,260,5.01,7,0.0,0.0,clear sky
2024,11,11,03:00:00,50.43,48.97,49.03,51.87,1012,81,10.36,260,,75,0.0,0.0,broken clouds
2024,11,11,04:00:00,51.37,49.91,49.66,52.63,1012,79,5.01,240,8.01,4,0.0,0.0,clear sky
2024,11,11,05:00:00,51.89,50.4,50.22,53.13,1012,77,3.0,259,3.0,3,0.0,0.0,clear sky
2024,11,11,06:00:00,51.98,50.59,50.22,53.6,1011,79,5.01,256,7.0,4,0.0,0.0,clear sky
2024,11,11,07:00:00,51.94,50.59,50.22,53.17,1012,80,5.99,246,8.01,0,0.0,0.0,clear sky
2024,11,11,08:00:00,52.66,51.24,50.22,54.18,1012,77,11.5,240,,40,0.0,0.0,scattered clouds
2024,11,11,09:00:00,53.85,52.38,51.4,55.42,1012,73,12.66,260,25.32,20,0.0,0.0,few clouds
2024,11,11,10:00:00,55.08,53.53,52.99,56.48,1012,69,13.0,257,21.99,0,0.0,0.0,clear sky
2024,11,11,11:00:00,56.64,54.97,54.0,58.17,1013,63,15.99,284,20.0,0,0.0,0.0,clear sky
2024,11,11,12:00:00,56.75,54.75,54.55,58.41,1013,56,14.97,270,24.16,20,0.0,0.0,few clouds
2024,11,11,13:00:00,57.36,55.29,55.33,59.04,1014,53,14.97,310,25.32,20,0.0,0.0,few clouds
2024,11,11,14:00:00,56.95,54.73,54.61,58.28,1014,51,8.01,284,10.0,3,0.0,0.0,clear sky
2024,11,11,15:00:00,55.04,52.68,51.46,57.42,1016,52,21.0,315,25.99,20,0.0,0.0,few clouds
2024,11,11,16:00:00,50.54,47.88,47.55,52.99,1017,55,18.01,334,24.0,47,0.0,0.0,scattered clouds
2024,11,11,17:00:00,47.82,41.85,45.32,49.41,1018,58,15.01,331,21.0,39,0.0,0.0,scattered clouds
2024,11,11,18:00:00,45.93,40.64,43.32,47.08,1019,60,11.01,319,15.01,37,0.0,0.0,scattered clouds
2024,11,11,19:00:00,44.37,39.06,41.68,46.09,1020,63,10.0,343,13.0,16,0.0,0.0,few clouds
2024,11,11,20:00:00,44.19,43.11,40.59,46.09,1020,61,3.0,19,3.0,46,0.0,0.0,scattered clouds
2024,11,11,21:00:00,44.65,43.63,39.61,46.13,1021,64,3.0,29,5.01,62,0.0,0.0,broken clouds
2024,11,11,22:00:00,44.92,41.07,41.22,46.49,1022,67,7.0,33,8.01,74,0.0,0.0,broken clouds
2024,11,11,23:00:00,44.83,38.53,41.76,46.49,1022,69,13.22,15,20.11,79,0.0,0.0,broken clouds
2024,11,12,00:00:00,43.88,36.5,41.56,45.37,1023,77,16.11,360,23.02,75,0.0,0.0,broken clouds
2024,11,12,01:00:00,43.39,38.7,40.35,45.18,1023,82,8.05,350,,100,0.0,0.0,light intensity drizzle
