Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,3,14:00:00,54.77,51.64,50.94,57.94,999,36,4.0,42,,100,0.0,0.0,overcast clouds
2024,11,3,15:00:00,54.32,51.19,50.38,56.59,1000,37,1.99,250,5.99,100,0.0,0.0,overcast clouds
2024,11,3,16:00:00,52.41,49.28,48.72,54.34,1000,41,7.0,43,20.0,100,0.11,0.0,light rain
2024,11,3,17:00:00,47.46,45.93,44.47,50.02,1001,60,4.0,44,11.01,100,0.74,0.0,light rain
2024,11,3,18:00:00,44.06,41.23,41.56,47.03,1003,73,5.01,0,,100,0.26,0.0,light rain
2024,11,3,19:00:00,41.22,35.6,38.61,44.11,1005,80,8.99,20,,100,1.54,0.0,moderate rain
2024,11,3,20:00:00,39.69,38.01,37.04,41.83,1009,84,3.0,345,8.99,100,0.32,0.0,light rain
2024,11,3,21:00:00,37.99,34.11,35.38,40.75,1009,86,5.01,47,,100,0.65,0.0,light rain
2024,11,3,22:00:00,36.5,34.41,34.18,39.25,1010,89,3.0,0,8.01,100,0.0,0.0,overcast clouds
2024,11,3,23:00:00,35.47,31.15,33.42,38.43,1012,90,5.01,288,,100,0.0,0.0,overcast clouds
2024,11,4,00:00:00,35.29,35.29,33.42,37.96,1013,91,1.99,242,5.99,100,0.32,0.0,light rain
2024,11,4,01:00:00,35.28,31.86,33.66,37.83,1013,91,4.0,298,,100,0.0,0.75,snow
2024,11,4,02:00:00,35.2,30.83,33.62,37.72,1014,92,5.01,301,,100,0.0,0.6,snow
2024,11,4,03:00:00,34.77,34.77,33.19,37.42,1015,92,1.99,0,5.01,100,0.0,1.15,snow
2024,11,4,04:00:00,34.66,32.34,33.12,36.95,1016,93,3.0,296,,100,0.0,0.22,light snow
2024,11,4,05:00:00,34.63,34.63,32.95,37.06,1016,93,1.01,0,1.99,100,0.0,0.87,snow
2024,11,4,06:00:00,34.36,31.98,32.94,36.68,1017,93,3.0,304,,100,0.0,0.53,snow
2024,11,4,07:00:00,34.43,30.88,32.94,36.55,1018,93,4.0,284,,100,0.0,0.49,light snow
2024,11,4,08:00:00,34.23,31.84,32.94,36.64,1018,92,3.0,332,,100,0.0,0.37,light snow
2024,11,4,09:00:00,34.7,30.24,33.26,37.2,1018,89,5.01,341,11.01,100,0.25,0.0,light rain
2024,11,4,10:00:00,35.13,30.74,33.24,37.83,1017,86,5.01,308,,100,0.32,0.0,light rain
2024,11,4,11:00:00,36.18,36.18,33.91,38.82,1016,81,1.01,13,5.01,100,0.0,0.0,overcast clouds
2024,11,4,12:00:00,37.72,37.72,35.06,40.44,1014,76,1.99,29,4.0,100,0.0,0.0,overcast clouds
2024,11,4,13:00:00,39.88,38.25,36.75,42.46,1013,69,3.0,0,5.99,100,0.0,0.0,overcast clouds
2024,11,4,14:00:00,41.52,41.52,38.35,44.19,1011,62,1.99,0,3.0,99,0.0,0.0,overcast clouds
2024,11,4,15:00:00,42.22,42.22,38.57,44.92,1010,61,1.99,275,,78,0.0,0.0,broken clouds
2024,11,4,16:00:00,41.14,41.14,37.62,43.48,1010,60,1.99,0,3.0,64,0.0,0.0,broken clouds
2024,11,4,17:00:00,38.37,38.37,34.68,40.44,1011,65,1.01,0,3.0,60,0.0,0.0,broken clouds
2024,11,4,18:00:00,35.73,31.19,32.25,38.59,1012,73,5.32,246,5.26,7,0.0,0.0,clear sky
2024,11,4,19:00:00,34.14,34.14,30.92,37.58,1012,77,1.99,119,4.0,7,0.0,0.0,clear sky
2024,11,4,20:00:00,33.24,33.24,29.88,35.73,1012,80,1.01,186,5.01,7,0.0,0.0,clear sky
2024,11,4,21:00:00,32.56,27.55,29.07,34.97,1011,82,5.19,201,7.25,5,0.0,0.0,clear sky
2024,11,4,22:00:00,31.75,25.57,28.49,34.32,1011,81,6.46,203,8.86,4,0.0,0.0,clear sky
2024,11,4,23:00:00,31.5,24.89,28.2,34.18,1010,79,7.0,201,9.64,4,0.0,0.0,clear sky
2024,11,5,00:00:00,31.24,24.67,27.88,34.29,1009,77,6.87,204,9.69,0,0.0,0.0,clear sky
2024,11,5,01:00:00,30.92,25.61,27.16,34.25,1009,75,5.21,225,7.61,0,0.0,0.0,clear sky
2024,11,5,02:00:00,30.7,30.7,26.69,34.21,1009,73,2.68,242,4.16,0,0.0,0.0,clear sky
2024,11,5,03:00:00,30.6,30.6,26.65,34.07,1008,72,1.19,323,3.18,0,0.0,0.0,clear sky
2024,11,5,04:00:00,30.65,30.65,26.44,34.92,1008,72,0.67,124,1.32,0,0.0,0.0,clear sky
2024,11,5,05:00:00,31.46,31.46,26.44,35.49,1009,71,1.99,13,10.0,0,0.0,0.0,clear sky
2024,11,5,06:00:00,34.41,34.41,29.12,37.62,1010,65,1.99,303,8.99,99,0.0,0.0,overcast clouds
2024,11,5,07:00:00,34.5,34.5,28.04,38.59,1010,64,1.99,120,5.01,100,0.0,0.0,overcast clouds
2024,11,5,08:00:00,39.87,39.87,34.32,43.65,1010,54,1.99,291,5.99,72,0.0,0.0,broken clouds
2024,11,5,09:00:00,44.69,39.87,40.12,47.79,1009,45,8.99,0,13.0,56,0.0,0.0,broken clouds
2024,11,5,10:00:00,48.43,46.36,44.49,50.95,1007,40,5.01,209,,46,0.0,0.0,scattered clouds
2024,11,5,11:00:00,50.95,47.39,46.96,53.46,1005,35,8.99,309,15.01,37,0.0,0.0,scattered clouds
2024,11,5,12:00:00,52.14,48.65,48.15,54.72,1004,34,4.0,202,,82,0.0,0.0,broken clouds
2024,11,5,13:00:00,52.68,49.21,48.65,55.44,1002,33,4.0,136,,48,0.0,0.0,scattered clouds
2024,11,5,14:00:00,53.6,50.13,49.68,56.12,1001,31,3.0,0,8.99,65,0.0,0.0,broken clouds
2024,11,5,15:00:00,51.84,48.27,47.37,53.78,1001,33,1.01,306,4.0,75,0.0,0.0,broken clouds
2024,11,5,16:00:00,47.35,42.76,42.57,50.63,1002,41,10.0,0,18.01,80,0.0,0.0,broken clouds
2024,11,5,17:00:00,40.08,33.75,37.35,42.76,1005,57,10.0,27,18.01,82,0.0,0.0,broken clouds
2024,11,5,18:00:00,35.6,32.23,33.35,39.31,1009,80,4.0,57,13.0,100,0.75,0.0,light rain
2024,11,5,19:00:00,33.04,30.51,31.08,36.21,1012,89,3.0,32,,100,0.0,1.54,snow
2024,11,5,20:00:00,31.86,31.86,30.25,34.29,1015,91,1.01,40,3.0,100,0.0,0.65,snow
2024,11,5,21:00:00,31.41,25.11,29.75,33.58,1016,91,6.55,141,8.57,100,0.0,1.15,snow
2024,11,5,22:00:00,31.08,24.69,29.32,33.33,1017,92,6.58,138,10.85,100,0.0,0.65,snow
2024,11,6,00:00:00,30.25,23.59,28.31,32.95,1017,92,6.73,251,8.7,100,0.0,0.5,light snow
2024,11,6,01:00:00,30.31,23.65,28.38,32.99,1017,92,6.73,251,8.7,100,0.0,0.42,light snow
2024,11,6,02:00:00,30.06,24.93,28.26,32.04,1018,93,4.85,250,9.93,100,0.0,1.22,snow
2024,11,6,03:00:00,29.93,21.88,28.26,31.68,1018,93,8.7,356,15.43,100,0.0,0.39,light snow
2024,11,6,04:00:00,29.98,21.58,28.15,31.68,1019,93,9.37,356,17.29,100,0.0,0.17,light snow
2024,11,6,05:00:00,29.89,21.63,28.11,31.68,1020,93,9.06,346,17.98,100,0.0,0.65,snow
2024,11,6,06:00:00,28.83,22.46,27.12,31.03,1021,93,5.99,38,11.99,100,0.0,0.87,snow
2024,11,6,07:00:00,28.44,28.44,26.47,30.31,1022,93,1.99,26,5.01,100,0.0,0.42,light snow
2024,11,6,08:00:00,28.56,23.04,26.38,30.69,1023,93,5.01,20,10.0,100,0.0,0.37,light snow
2024,11,6,09:00:00,28.44,23.95,26.31,30.92,1025,92,4.0,38,7.0,100,0.0,0.87,snow
2024,11,6,10:00:00,28.53,28.53,26.42,31.14,1026,91,1.99,34,8.01,100,0.0,0.65,snow
2024,11,6,11:00:00,28.98,28.98,26.87,31.84,1027,90,1.99,20,8.99,100,0.0,0.42,light snow
2024,11,6,12:00:00,29.55,26.55,27.23,32.61,1026,90,3.0,31,7.0,100,0.0,0.65,snow
2024,11,6,13:00:00,30.24,30.24,27.75,32.99,1026,89,1.01,26,4.0,100,0.0,0.52,snow
2024,11,6,14:00:00,30.06,27.12,27.82,32.83,1026,90,3.0,31,5.99,100,0.0,0.42,light snow
2024,11,6,15:00:00,29.39,29.39,27.25,31.84,1027,90,1.01,28,5.99,100,0.0,0.19,light snow
2024,11,6,16:00:00,28.67,23.16,26.71,31.03,1027,90,5.01,29,10.0,100,0.0,0.13,light snow
2024,11,6,17:00:00,28.11,28.11,26.06,30.25,1028,90,1.01,19,4.0,100,0.0,0.0,overcast clouds
2024,11,6,18:00:00,27.97,27.97,26.06,29.82,1030,90,1.36,92,3.15,100,0.0,0.8,snow
2024,11,6,19:00:00,27.75,27.75,25.75,29.68,1031,91,0.6,278,1.41,100,0.0,0.52,snow
2024,11,6,20:00:00,27.19,27.19,25.07,29.28,1031,92,2.68,338,5.03,100,0.0,0.2,light snow
2024,11,6,21:00:00,26.76,26.76,24.13,28.45,1032,92,1.16,334,1.1,96,0.0,0.0,overcast clouds
2024,11,6,22:00:00,25.92,25.92,23.76,27.79,1033,92,2.24,206,1.95,91,0.0,0.0,overcast clouds
2024,11,6,23:00:00,26.04,22.48,23.68,27.82,1031,91,3.06,19,2.82,100,0.0,0.0,overcast clouds
2024,11,7,00:00:00,25.52,25.52,23.05,27.68,1030,91,1.5,15,1.19,99,0.0,0.0,overcast clouds
