Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,4,23:00:00,65.3,65.71,62.98,66.56,1014,89,6.49,186,28.88,100,0.0,0.0,overcast clouds
2024,11,5,00:00:00,64.17,64.56,61.92,65.75,1013,91,9.35,207,29.89,100,0.0,0.0,overcast clouds
2024,11,5,01:00:00,63.52,63.84,61.18,65.32,1013,91,6.69,212,27.51,100,0.0,0.0,overcast clouds
2024,11,5,02:00:00,63.61,63.86,61.14,65.25,1012,89,1.01,201,7.0,100,0.0,0.0,overcast clouds
2024,11,5,03:00:00,65.01,65.21,61.92,66.58,1012,85,1.99,184,7.0,100,0.0,0.0,overcast clouds
2024,11,5,04:00:00,66.06,66.31,63.18,68.25,1012,84,1.99,184,8.01,100,0.0,0.0,overcast clouds
2024,11,5,05:00:00,67.26,67.55,64.33,69.1,1012,82,3.0,236,7.0,100,0.0,0.0,overcast clouds
2024,11,5,06:00:00,67.66,67.84,63.95,70.25,1012,79,13.8,190,23.02,75,0.0,0.0,broken clouds
2024,11,5,07:00:00,67.23,67.5,63.95,70.25,1012,82,1.99,113,8.99,100,0.0,0.0,overcast clouds
2024,11,5,08:00:00,66.4,66.69,63.14,69.26,1013,84,7.0,215,11.99,100,0.0,0.0,overcast clouds
2024,11,5,09:00:00,68.4,68.65,66.94,71.01,1013,79,4.0,211,11.99,100,0.0,0.0,overcast clouds
2024,11,5,10:00:00,69.62,70.0,65.91,71.26,1013,79,8.01,250,15.99,100,0.0,0.0,overcast clouds
2024,11,5,11:00:00,70.84,71.24,68.92,72.0,1012,77,7.0,230,14.0,100,0.0,0.0,overcast clouds
2024,11,5,12:00:00,71.22,71.67,68.14,72.25,1012,77,8.99,202,17.0,100,0.0,0.0,overcast clouds
2024,11,5,13:00:00,71.92,72.43,69.1,73.0,1011,77,4.0,191,5.99,100,0.0,0.0,overcast clouds
2024,11,5,14:00:00,72.59,72.93,69.1,74.25,1010,72,14.97,200,26.46,100,0.0,0.0,overcast clouds
2024,11,5,15:00:00,73.72,74.17,69.75,75.22,1010,72,10.0,239,10.0,100,0.0,0.0,overcast clouds
2024,11,5,16:00:00,73.81,74.32,69.91,75.25,1009,73,5.01,180,20.0,100,0.0,0.0,overcast clouds
