Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather Description
2024,11,10,17:00:00,76.46,77.52,74.88,78.31,1018,79,4.0,0,10.0,8,0.0,0,clear sky
2024,11,10,18:00:00,75.15,76.26,73.87,78.04,1019,83,4.0,127,5.99,8,0.0,0,clear sky
2024,11,10,19:00:00,77.13,78.06,75.88,77.86,1019,75,13.0,50,23.0,8,0.0,0,clear sky
2024,11,10,20:00:00,77.23,78.04,75.88,78.04,1020,72,13.0,50,28.99,6,0.0,0,clear sky
2024,11,10,21:00:00,77.76,78.48,75.88,78.62,1020,69,17.27,60,,20,0.0,0,few clouds
2024,11,10,22:00:00,75.18,76.06,73.87,77.31,1021,78,4.0,85,10.0,4,0.0,0,clear sky
2024,11,10,23:00:00,76.86,77.81,75.88,78.04,1020,76,11.01,60,,3,0.0,0,clear sky
2024,11,11,00:00:00,76.08,77.14,75.31,76.86,1020,80,11.01,60,,3,0.0,0,clear sky
2024,11,11,01:00:00,75.87,76.87,74.89,76.86,1019,79,8.99,50,,2,0.0,0,clear sky
2024,11,11,02:00:00,74.68,75.61,72.88,76.86,1019,80,8.99,50,,3,0.0,0,clear sky
2024,11,11,03:00:00,74.23,75.16,72.88,76.24,1018,81,4.0,124,8.99,2,0.0,0,clear sky
2024,11,11,04:00:00,74.62,75.63,72.88,76.86,1018,82,10.0,70,,2,0.0,0,clear sky
2024,11,11,05:00:00,74.14,75.2,72.88,75.31,1019,84,10.0,50,,5,0.0,0,clear sky
2024,11,11,06:00:00,74.77,75.94,74.3,76.24,1019,85,10.0,50,,11,0.11,0,light rain
2024,11,11,07:00:00,75.2,76.46,73.31,76.86,1020,86,13.0,80,,12,0.0,0,few clouds
2024,11,11,08:00:00,75.79,76.87,73.96,78.62,1020,81,9.22,70,,40,0.0,0,scattered clouds
2024,11,11,09:00:00,77.2,78.39,76.87,77.86,1020,80,10.0,50,,10,0.0,0,clear sky
2024,11,11,10:00:00,79.09,79.09,75.96,79.88,1020,76,11.99,50,,100,0.0,0,overcast clouds
2024,11,11,11:00:00,81.0,85.14,76.96,81.3,1020,73,3.0,104,8.99,7,0.0,0,clear sky
2024,11,11,12:00:00,82.35,86.41,79.84,83.86,1019,67,15.01,80,28.01,7,0.0,0,clear sky
2024,11,11,13:00:00,80.55,83.86,79.88,83.86,1018,70,18.01,90,28.99,9,0.0,0,clear sky
2024,11,11,14:00:00,79.56,79.56,78.87,81.64,1018,77,1.99,90,5.01,9,0.0,0,clear sky
2024,11,11,15:00:00,77.92,79.21,76.87,79.3,1018,81,3.0,48,5.99,30,0.0,0,scattered clouds
2024,11,11,16:00:00,78.66,79.84,76.87,81.86,1018,77,18.01,60,27.0,33,0.13,0,light rain
2024,11,11,17:00:00,75.99,77.34,74.88,78.31,1018,86,4.0,121,8.99,26,0.0,0,scattered clouds
2024,11,11,18:00:00,78.12,79.39,74.89,79.86,1019,80,13.0,70,,28,0.12,0,light rain
2024,11,11,19:00:00,77.13,78.35,75.88,77.86,1020,81,11.01,80,,30,0.13,0,light rain
2024,11,11,20:00:00,77.13,78.3,75.88,77.86,1020,80,11.99,70,,28,0.0,0,scattered clouds
2024,11,11,21:00:00,77.76,78.8,75.88,78.62,1021,76,13.8,70,21.85,40,0.0,0,scattered clouds
2024,11,11,22:00:00,77.13,78.12,75.88,77.86,1021,76,13.0,60,,13,0.0,0,few clouds
