Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,4,23:00:00,79.83,79.83,78.98,81.01,1015,83,21.85,90,28.77,100,0.13,0,light rain
2024,11,5,00:00:00,78.1,79.65,75.99,80.62,1014,86,15.01,70,28.01,100,0.0,0,overcast clouds
2024,11,5,01:00:00,79.48,79.48,78.01,81.01,1014,83,15.01,80,32.01,100,0.0,0,overcast clouds
2024,11,5,02:00:00,79.65,79.65,78.01,81.01,1013,83,18.41,80,25.32,100,0.0,0,overcast clouds
2024,11,5,03:00:00,79.7,79.7,78.01,81.01,1013,84,15.01,80,30.0,75,0.0,0,broken clouds
2024,11,5,04:00:00,78.62,80.31,76.98,80.62,1012,88,17.27,80,27.63,100,0.0,0,overcast clouds
2024,11,5,05:00:00,78.04,79.74,75.99,79.02,1013,89,20.0,90,28.01,100,0.0,0,overcast clouds
2024,11,5,06:00:00,78.24,79.99,75.99,79.02,1013,90,18.41,90,29.93,100,0.0,0,mist
2024,11,5,07:00:00,78.91,78.91,77.0,80.02,1014,90,20.0,80,25.99,32,0.0,0,scattered clouds
2024,11,5,08:00:00,78.69,80.58,77.02,80.62,1014,92,24.0,80,31.0,86,4.5,0,heavy intensity rain
2024,11,5,09:00:00,80.13,86.0,78.8,81.01,1015,90,19.57,90,29.93,75,0.0,0,mist
2024,11,5,10:00:00,81.23,88.47,79.0,82.42,1015,87,18.41,100,26.46,100,0.0,0,mist
2024,11,5,11:00:00,80.67,87.15,78.98,83.01,1015,88,18.41,90,,100,0.0,0,overcast clouds
2024,11,5,12:00:00,81.18,88.54,79.0,83.01,1014,88,21.0,90,31.0,100,0.0,0,overcast clouds
2024,11,5,13:00:00,83.03,92.7,81.0,85.01,1013,84,21.0,90,35.99,100,0.0,0,overcast clouds
2024,11,5,14:00:00,82.36,90.54,80.01,84.22,1013,83,21.99,80,32.01,75,0.0,0,broken clouds
2024,11,5,15:00:00,81.68,89.47,80.01,82.99,1012,86,18.41,100,27.63,100,0.0,0,overcast clouds
2024,11,5,16:00:00,81.37,88.86,79.02,82.4,1012,87,15.01,90,,75,0.0,0,broken clouds
2024,11,5,17:00:00,81.39,88.92,79.02,82.42,1012,87,18.41,90,,100,0.0,0,overcast clouds
2024,11,5,18:00:00,80.58,87.08,79.99,82.02,1012,89,14.97,90,,100,0.0,0,overcast clouds
2024,11,5,19:00:00,80.38,86.54,79.99,82.02,1013,89,15.01,90,,100,0.0,0,overcast clouds
2024,11,5,20:00:00,80.46,86.92,79.99,82.02,1013,90,4.0,81,11.99,15,0.0,0,few clouds
2024,11,5,21:00:00,80.29,86.63,79.99,81.01,1014,91,1.99,72,10.0,15,0.0,0,few clouds
2024,11,5,22:00:00,80.35,86.77,79.99,81.01,1014,91,1.99,132,13.0,30,0.0,0,scattered clouds
2024,11,5,23:00:00,80.46,87.1,79.99,82.0,1013,91,14.0,90,,41,0.0,0,scattered clouds
2024,11,6,00:00:00,80.4,86.94,79.99,81.01,1013,91,13.0,100,,75,0.0,0,broken clouds
2024,11,6,02:00:00,80.11,86.11,79.0,81.01,1012,91,14.0,100,,75,0.0,0,broken clouds
2024,11,6,03:00:00,80.04,85.91,79.0,81.0,1012,91,14.97,110,25.32,100,0.0,0,overcast clouds
2024,11,6,04:00:00,80.37,86.83,79.0,81.01,1012,91,15.01,110,,75,0.0,0,broken clouds
2024,11,6,05:00:00,80.31,86.68,79.0,81.01,1012,91,15.99,100,,100,0.0,0,overcast clouds
2024,11,6,06:00:00,80.44,87.04,79.0,81.01,1013,91,14.0,110,,100,0.0,0,overcast clouds
2024,11,6,07:00:00,80.8,87.89,79.0,82.4,1014,90,14.0,110,24.0,75,0.0,0,broken clouds
2024,11,6,08:00:00,81.63,90.09,80.01,82.42,1014,89,21.0,110,28.99,100,0.0,0,overcast clouds
2024,11,6,09:00:00,82.78,92.95,82.0,84.2,1015,87,17.0,100,30.0,100,0.0,0,overcast clouds
2024,11,6,10:00:00,83.79,95.29,82.42,85.01,1015,85,16.11,110,29.93,75,0.0,0,broken clouds
2024,11,6,11:00:00,84.24,96.26,82.99,86.02,1014,84,23.02,110,31.07,100,0.0,0,overcast clouds
2024,11,6,12:00:00,84.99,97.59,82.99,87.03,1014,83,21.99,110,31.0,98,0.0,0,overcast clouds
2024,11,6,13:00:00,84.63,97.03,82.99,86.02,1013,83,24.16,100,35.68,75,0.0,0,broken clouds
2024,11,6,14:00:00,83.57,94.26,81.99,85.01,1012,84,17.27,100,28.77,100,0.0,0,overcast clouds
