Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather Description
2024,11,10,21:00:00,49.42,48.2,48.2,50.56,1009,89,4.0,228,11.01,16,0.0,0.0,few clouds
2024,11,10,22:00:00,49.71,48.54,48.51,50.9,1009,90,4.0,242,10.0,55,0.0,0.0,broken clouds
2024,11,10,23:00:00,49.84,45.03,48.16,51.31,1008,89,12.66,250,21.85,40,0.0,0.0,scattered clouds
2024,11,11,00:00:00,48.99,47.03,46.87,50.61,1009,89,5.01,255,18.01,36,0.0,0.0,scattered clouds
2024,11,11,01:00:00,48.11,41.95,46.4,49.6,1010,86,16.11,290,24.16,40,0.0,0.0,scattered clouds
2024,11,11,02:00:00,46.72,40.46,44.67,48.45,1012,83,14.97,290,,75,0.0,0.0,broken clouds
2024,11,11,03:00:00,44.53,37.35,42.19,46.36,1013,78,16.11,300,21.85,20,0.0,0.0,few clouds
2024,11,11,04:00:00,40.77,29.91,38.14,43.05,1015,74,27.63,320,35.68,0,0.0,0.0,clear sky
2024,11,11,05:00:00,38.26,28.31,36.66,40.01,1016,75,19.57,320,29.93,75,0.0,0.0,broken clouds
2024,11,11,06:00:00,38.28,29.64,36.48,39.49,1017,73,14.97,320,27.63,75,0.0,0.0,broken clouds
2024,11,11,07:00:00,37.67,28.17,35.92,39.16,1018,73,17.27,320,26.46,0,0.0,0.0,clear sky
2024,11,11,08:00:00,38.05,29.35,36.07,39.45,1019,72,14.97,310,24.16,0,0.0,0.0,clear sky
2024,11,11,09:00:00,39.79,30.31,38.14,41.29,1020,69,19.57,330,,20,0.0,0.0,few clouds
2024,11,11,10:00:00,41.79,32.67,39.67,43.56,1020,64,20.71,330,31.07,0,0.0,0.0,clear sky
2024,11,11,11:00:00,43.52,35.46,41.34,45.37,1021,62,18.41,330,33.38,0,0.0,0.0,clear sky
2024,11,11,12:00:00,45.52,38.62,43.27,47.37,1021,57,16.11,350,26.46,20,0.0,0.0,few clouds
2024,11,11,13:00:00,46.22,38.98,44.13,48.27,1021,54,18.41,350,25.32,20,0.0,0.0,few clouds
