Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,4,22:00:00,66.43,66.58,64.9,68.09,1017,81,13.44,160,34.69,79,0.0,0,broken clouds
2024,11,4,23:00:00,67.01,67.08,65.05,68.47,1016,78,16.11,170,24.16,40,0.0,0,scattered clouds
2024,11,5,00:00:00,66.31,66.34,64.9,67.71,1016,79,18.41,160,27.63,20,0.0,0,few clouds
2024,11,5,01:00:00,66.06,66.02,64.51,67.71,1016,78,16.11,170,,75,0.0,0,broken clouds
2024,11,5,02:00:00,66.29,66.33,64.99,67.71,1016,79,12.3,160,33.76,98,0.0,0,overcast clouds
2024,11,5,03:00:00,66.81,66.81,65.68,68.31,1016,77,17.27,170,24.16,100,0.0,0,overcast clouds
2024,11,5,04:00:00,67.14,67.12,65.89,68.38,1017,76,14.97,170,,75,0.0,0,broken clouds
2024,11,5,05:00:00,67.01,67.03,65.68,68.38,1017,77,12.66,170,,100,0.0,0,overcast clouds
2024,11,5,06:00:00,66.52,66.69,65.32,67.71,1017,81,10.0,163,32.86,55,0.0,0,broken clouds
2024,11,5,07:00:00,66.85,66.94,65.71,68.38,1017,79,9.22,150,,100,0.0,0,overcast clouds
2024,11,5,08:00:00,68.99,69.21,67.64,70.39,1017,77,13.8,160,23.02,100,0.0,0,overcast clouds
2024,11,5,09:00:00,71.31,71.62,69.66,72.43,1016,74,18.41,170,25.32,100,0.0,0,overcast clouds
2024,11,5,10:00:00,73.29,73.65,71.31,75.09,1016,71,18.41,170,25.32,100,0.0,0,overcast clouds
2024,11,5,11:00:00,74.28,74.7,72.05,75.97,1015,70,20.71,170,31.07,100,0.0,0,overcast clouds
2024,11,5,12:00:00,74.01,74.44,72.07,75.51,1015,71,18.41,200,,100,0.0,0,overcast clouds
2024,11,5,13:00:00,72.5,73.02,71.01,75.38,1014,76,20.71,180,,100,0.0,0,overcast clouds
2024,11,5,14:00:00,73.56,74.05,71.89,75.22,1013,73,14.97,170,21.85,75,0.0,0,broken clouds
2024,11,5,15:00:00,73.49,74.01,71.73,75.97,1012,74,12.66,170,21.85,75,0.0,0,broken clouds
2024,11,5,16:00:00,73.36,73.89,71.89,75.04,1012,74,16.11,160,,100,0.0,0,overcast clouds
2024,11,5,17:00:00,72.84,73.35,71.71,74.48,1012,75,18.41,190,25.32,100,0.0,0,overcast clouds
2024,11,5,18:00:00,72.3,72.75,70.75,73.71,1014,75,12.66,170,,100,0.0,0,overcast clouds
2024,11,5,19:00:00,71.49,72.05,70.27,72.72,1014,79,9.22,160,16.11,100,0.0,0,overcast clouds
2024,11,5,20:00:00,70.95,71.46,69.91,72.48,1014,79,10.74,174,30.96,0,0.0,0,clear sky
2024,11,5,21:00:00,70.63,71.06,69.01,72.48,1014,78,10.78,172,31.03,5,0.0,0,clear sky
2024,11,5,22:00:00,70.47,70.68,69.01,72.48,1013,74,10.83,170,31.43,31,0.0,0,scattered clouds
