Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,3,17:00:00,51.89,48.24,48.79,53.73,1030,31,6.91,10,,40,0.0,0,scattered clouds
2024,11,3,18:00:00,48.99,48.15,44.69,51.35,1031,36,3.44,360,,0,0.0,0,clear sky
2024,11,3,19:00:00,48.7,47.82,42.76,51.22,1031,34,3.44,20,,0,0.0,0,clear sky
2024,11,3,20:00:00,47.86,44.65,41.85,50.0,1032,39,6.91,360,,40,0.0,0,scattered clouds
2024,11,3,21:00:00,47.44,43.63,40.6,50.22,1032,38,8.05,30,,40,0.0,0,scattered clouds
2024,11,3,22:00:00,46.15,44.89,39.18,49.21,1032,45,3.44,360,,0,0.0,0,clear sky
2024,11,3,23:00:00,45.32,43.95,37.96,48.96,1032,46,3.44,30,,20,0.0,0,few clouds
2024,11,4,00:00:00,46.04,43.11,37.72,49.14,1032,49,5.75,50,,20,0.0,0,few clouds
2024,11,4,01:00:00,45.48,41.23,39.15,48.94,1032,51,8.05,20,,0,0.0,0,clear sky
2024,11,4,02:00:00,45.52,43.23,37.35,49.14,1032,51,4.61,120,,0,0.0,0,clear sky
2024,11,4,03:00:00,44.94,42.55,37.35,48.15,1032,58,4.61,110,,0,0.0,0,clear sky
2024,11,4,04:00:00,44.78,40.95,36.91,48.15,1032,62,6.91,30,,20,0.0,0,few clouds
2024,11,4,05:00:00,45.18,40.87,39.11,47.21,1032,63,8.05,10,,75,0.0,0,broken clouds
2024,11,4,06:00:00,45.32,42.24,37.62,48.22,1033,65,5.75,10,,0,0.0,0,clear sky
2024,11,4,07:00:00,46.0,42.42,39.34,48.22,1033,64,6.91,30,,75,0.0,0,broken clouds
2024,11,4,08:00:00,47.93,42.98,42.42,50.22,1034,66,11.5,60,,75,0.0,0,broken clouds
2024,11,4,09:00:00,50.18,47.91,46.69,53.13,1034,64,5.99,360,11.01,0,0.0,0,clear sky
2024,11,4,10:00:00,53.38,51.3,49.91,55.98,1033,61,10.0,360,15.99,0,0.0,0,clear sky
2024,11,4,11:00:00,55.38,53.44,52.34,57.52,1033,60,13.0,113,21.0,40,0.0,0,scattered clouds
2024,11,4,12:00:00,56.35,54.46,54.16,59.05,1032,59,14.97,120,,40,0.0,0,scattered clouds
2024,11,4,13:00:00,56.97,55.13,54.95,59.56,1031,59,10.36,140,,75,0.0,0,broken clouds
2024,11,4,14:00:00,57.22,55.51,55.17,59.45,1030,61,9.22,140,,75,0.0,0,broken clouds
2024,11,4,15:00:00,56.73,55.2,54.88,59.14,1030,66,9.22,140,17.27,75,0.0,0,broken clouds
