Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather Description
2024,11,10,21:00:00,52.14,50.86,50.04,54.14,1018,81,2.42,117,2.26,0,0.0,0,clear sky
2024,11,10,22:00:00,51.44,50.14,49.48,54.75,1018,82,3.22,251,3.15,0,0.0,0,clear sky
2024,11,10,23:00:00,50.88,49.57,48.78,53.74,1018,83,3.85,240,3.83,0,0.0,0,clear sky
2024,11,11,00:00:00,50.9,49.59,47.79,53.22,1018,83,4.61,238,4.68,0,0.0,0,clear sky
2024,11,11,01:00:00,50.85,49.39,48.42,53.65,1018,80,0.0,0,,0,0.0,0,clear sky
2024,11,11,02:00:00,50.34,48.94,47.91,52.66,1018,82,3.96,256,4.0,1,0.0,0,clear sky
2024,11,11,03:00:00,50.67,49.19,47.48,52.41,1018,80,4.61,210,,0,0.0,0,clear sky
2024,11,11,04:00:00,50.18,48.7,47.77,52.41,1018,81,4.16,264,4.07,5,0.0,0,clear sky
2024,11,11,05:00:00,49.1,47.41,46.33,52.02,1018,81,4.61,210,,0,0.0,0,clear sky
2024,11,11,06:00:00,48.38,48.38,46.33,51.42,1019,83,2.77,267,2.82,23,0.0,0,few clouds
2024,11,11,07:00:00,47.91,45.32,45.91,50.22,1019,86,5.75,200,,0,0.0,0,clear sky
2024,11,11,08:00:00,51.26,49.98,48.09,53.42,1019,83,3.44,180,,0,0.0,0,clear sky
2024,11,11,09:00:00,56.88,55.74,53.92,59.41,1019,74,6.91,200,,40,0.0,0,scattered clouds
2024,11,11,10:00:00,62.15,61.07,59.54,64.42,1019,64,5.75,200,,0,0.0,0,clear sky
2024,11,11,11:00:00,66.38,65.35,63.91,68.04,1019,56,6.91,190,,0,0.0,0,haze
2024,11,11,12:00:00,69.15,68.13,67.51,70.95,1018,50,5.75,210,,40,0.0,0,scattered clouds
2024,11,11,13:00:00,71.78,70.77,70.34,73.06,1017,45,6.91,230,,40,0.0,0,scattered clouds
2024,11,11,14:00:00,73.13,72.16,71.49,74.41,1016,43,3.44,220,,0,0.0,0,clear sky
2024,11,11,15:00:00,73.99,73.02,71.82,75.42,1016,41,1.01,180,3.0,0,0.0,0,clear sky
2024,11,11,16:00:00,73.26,72.25,71.62,75.06,1016,42,1.23,53,0.89,60,0.0,0,broken clouds
2024,11,11,17:00:00,70.99,69.8,67.57,73.62,1016,43,0.0,0,,0,0.0,0,clear sky
2024,11,11,18:00:00,64.0,62.87,61.09,67.03,1016,59,4.92,86,4.94,45,0.0,0,scattered clouds
2024,11,11,19:00:00,60.13,58.91,57.49,63.77,1017,65,3.44,100,,0,0.0,0,clear sky
2024,11,11,20:00:00,58.37,57.06,55.49,62.11,1017,67,7.92,104,11.23,97,0.0,0,overcast clouds
2024,11,11,21:00:00,57.85,56.48,54.95,60.31,1017,67,4.61,140,,0,0.0,0,clear sky
2024,11,11,22:00:00,56.86,55.58,54.05,59.13,1018,71,3.44,130,,0,0.0,0,clear sky
2024,11,11,23:00:00,55.98,54.7,53.49,58.51,1018,73,4.61,160,,0,0.0,0,clear sky
2024,11,12,00:00:00,54.97,53.64,51.75,57.42,1018,74,5.75,160,,40,0.0,0,scattered clouds
2024,11,12,01:00:00,55.04,53.76,52.12,57.22,1017,75,5.75,160,,40,0.0,0,scattered clouds
2024,11,12,02:00:00,54.0,52.66,51.69,56.21,1017,76,5.75,150,,0,0.0,0,clear sky
2024,11,12,03:00:00,53.65,52.39,50.05,55.49,1017,78,6.91,160,,0,0.0,0,clear sky
2024,11,12,04:00:00,53.15,51.93,49.77,55.49,1017,80,6.91,150,,0,0.0,0,clear sky
2024,11,12,05:00:00,52.34,51.03,48.74,54.21,1017,80,6.91,160,,0,0.0,0,clear sky
2024,11,12,06:00:00,51.89,50.59,48.52,54.21,1017,81,4.61,150,,0,0.0,0,clear sky
2024,11,12,07:00:00,52.12,50.88,49.41,53.83,1017,82,5.75,170,,0,0.0,0,clear sky
2024,11,12,08:00:00,54.23,53.11,51.78,55.83,1018,80,6.91,160,,0,0.0,0,clear sky
2024,11,12,09:00:00,59.49,58.48,55.81,61.95,1017,71,8.05,160,,0,0.0,0,clear sky
2024,11,12,10:00:00,63.21,62.33,61.12,65.79,1017,66,8.05,180,,0,0.0,0,clear sky
2024,11,12,11:00:00,67.46,66.63,65.62,69.08,1016,58,11.5,190,,0,0.0,0,clear sky
2024,11,12,12:00:00,69.57,68.67,67.62,71.22,1016,52,13.8,200,,75,0.0,0,broken clouds
2024,11,12,13:00:00,70.43,69.57,68.81,71.94,1014,51,18.41,160,29.93,75,0.0,0,broken clouds
2024,11,12,14:00:00,70.77,69.94,69.06,72.64,1013,51,14.97,190,18.41,0,0.0,0,clear sky
2024,11,12,15:00:00,70.81,70.03,69.62,72.54,1012,52,5.99,135,11.01,100,0.0,0,overcast clouds
2024,11,12,16:00:00,70.07,69.26,68.79,71.13,1012,53,5.01,158,10.0,100,0.0,0,overcast clouds
2024,11,12,17:00:00,67.68,66.83,66.09,68.85,1012,57,9.22,160,,0,0.0,0,clear sky
