Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,3,15:00:00,69.96,68.22,66.63,72.5,1003,33,15.99,278,20.0,31,0.0,0,scattered clouds
2024,11,3,16:00:00,66.45,64.72,62.6,69.89,1002,41,21.85,10,37.98,75,0.0,0,broken clouds
2024,11,3,17:00:00,63.25,61.57,59.61,65.8,1003,49,5.01,330,8.01,29,0.0,0,scattered clouds
2024,11,3,18:00:00,60.78,59.2,57.58,63.27,1003,56,8.99,103,13.0,82,0.0,0,broken clouds
2024,11,3,19:00:00,59.59,58.03,56.5,61.41,1004,59,3.0,13,11.99,59,0.41,0,light rain
2024,11,3,20:00:00,58.71,57.2,55.62,60.42,1004,62,4.79,34,6.55,78,0.0,0,broken clouds
2024,11,3,21:00:00,57.63,56.05,54.41,59.27,1005,63,3.0,260,5.99,70,0.0,0,broken clouds
2024,11,3,22:00:00,56.61,54.88,53.71,58.55,1005,62,5.32,281,7.85,58,0.0,0,broken clouds
2024,11,3,23:00:00,54.93,53.19,52.36,58.1,1007,65,4.0,275,5.99,43,0.0,0,scattered clouds
2024,11,4,00:00:00,54.63,52.79,51.6,57.74,1007,64,3.0,255,4.0,2,0.0,0,clear sky
2024,11,4,01:00:00,54.81,52.66,51.31,57.47,1008,57,3.0,251,5.01,2,0.0,0,clear sky
2024,11,4,02:00:00,53.73,51.3,50.59,56.7,1008,53,6.91,240,,20,0.0,0,few clouds
2024,11,4,03:00:00,53.53,50.65,49.24,55.92,1009,44,5.01,332,11.01,2,0.0,0,clear sky
2024,11,4,04:00:00,52.95,49.96,49.19,55.13,1009,43,4.0,250,7.0,2,0.0,0,clear sky
2024,11,4,05:00:00,51.55,48.52,47.32,54.36,1010,45,7.0,245,8.99,4,0.0,0,clear sky
2024,11,4,06:00:00,51.55,48.47,47.25,54.27,1011,44,4.0,265,8.01,0,0.0,0,clear sky
2024,11,4,07:00:00,51.15,47.95,46.36,54.18,1012,42,5.99,256,7.0,0,0.0,0,clear sky
2024,11,4,08:00:00,54.41,51.33,50.77,56.88,1013,38,3.0,247,7.0,0,0.0,0,clear sky
2024,11,4,09:00:00,58.12,55.22,54.99,60.84,1014,34,3.0,242,8.01,0,0.0,0,clear sky
2024,11,4,10:00:00,61.63,58.95,58.75,64.27,1014,31,5.99,288,10.0,0,0.0,0,clear sky
2024,11,4,11:00:00,64.33,61.74,61.75,66.61,1014,27,5.75,0,,20,0.0,0,few clouds
2024,11,4,12:00:00,66.52,64.06,64.13,68.65,1014,25,4.61,0,,20,0.0,0,few clouds
2024,11,4,13:00:00,68.31,65.97,65.71,70.5,1013,24,5.01,279,8.01,20,0.0,0,few clouds
2024,11,4,14:00:00,69.44,67.17,67.14,71.82,1013,23,10.0,253,15.99,20,0.0,0,few clouds
2024,11,4,15:00:00,70.11,67.86,67.91,72.7,1013,22,8.99,257,8.99,0,0.0,0,clear sky
2024,11,4,16:00:00,70.14,67.89,68.16,72.41,1013,22,5.01,199,14.0,0,0.0,0,clear sky
2024,11,4,17:00:00,68.52,66.11,66.16,70.68,1013,22,8.99,292,13.0,0,0.0,0,clear sky
2024,11,4,18:00:00,65.43,62.8,62.85,67.33,1013,24,1.99,172,7.0,0,0.0,0,clear sky
2024,11,4,19:00:00,62.42,59.63,59.45,64.35,1014,27,1.01,167,1.99,0,0.0,0,clear sky
2024,11,4,20:00:00,59.7,56.82,56.39,62.69,1014,31,5.48,220,5.17,0,0.0,0,clear sky
2024,11,4,21:00:00,58.06,55.13,54.34,60.69,1015,33,4.94,233,5.7,0,0.0,0,clear sky
2024,11,4,22:00:00,56.48,53.42,52.88,58.69,1016,34,2.64,242,3.36,0,0.0,0,clear sky
2024,11,4,23:00:00,55.36,52.25,51.4,58.51,1016,35,0.67,178,1.03,0,0.0,0,clear sky
2024,11,5,00:00:00,55.74,52.57,50.61,58.05,1015,33,4.0,117,7.0,0,0.0,0,clear sky
2024,11,5,01:00:00,53.65,50.45,49.21,57.06,1015,37,1.99,117,5.01,0,0.0,0,clear sky
2024,11,5,02:00:00,52.7,49.41,48.43,55.27,1016,37,6.91,100,,0,0.0,0,clear sky
2024,11,5,03:00:00,52.65,49.59,47.41,54.61,1016,42,4.0,118,7.0,0,0.0,0,clear sky
2024,11,5,04:00:00,52.41,49.19,47.52,54.61,1016,39,6.91,100,,0,0.0,0,clear sky
2024,11,5,05:00:00,51.91,48.81,47.75,54.16,1016,43,2.55,128,3.47,0,0.0,0,clear sky
2024,11,5,06:00:00,51.44,48.49,47.34,53.6,1016,47,3.44,120,,0,0.0,0,clear sky
2024,11,5,07:00:00,50.29,47.32,45.45,52.61,1016,49,2.48,130,2.8,0,0.0,0,clear sky
2024,11,5,08:00:00,54.46,51.73,51.35,56.82,1017,45,1.99,121,5.01,0,0.0,0,clear sky
2024,11,5,09:00:00,58.06,55.54,55.45,60.93,1017,42,5.01,104,7.0,1,0.0,0,clear sky
2024,11,5,10:00:00,61.83,59.45,58.86,65.07,1016,37,7.0,82,11.01,2,0.0,0,clear sky
2024,11,5,11:00:00,65.1,62.87,62.35,67.91,1016,33,7.0,68,8.99,9,0.0,0,clear sky
2024,11,5,12:00:00,67.8,65.64,64.92,70.38,1015,29,5.01,45,11.01,20,0.0,0,few clouds
2024,11,5,13:00:00,69.6,67.48,67.21,71.89,1013,26,4.61,0,,20,0.0,0,few clouds
2024,11,5,14:00:00,71.28,69.19,69.04,73.51,1012,23,3.0,261,7.0,20,0.0,0,few clouds
2024,11,5,15:00:00,72.1,70.05,69.42,74.55,1011,22,4.0,264,8.99,38,0.0,0,scattered clouds
2024,11,5,16:00:00,71.53,69.37,68.9,73.83,1010,21,5.75,310,,75,0.0,0,broken clouds
2024,11,5,17:00:00,70.61,68.36,68.11,72.37,1009,21,3.44,260,,75,0.0,0,smoke
2024,11,5,18:00:00,66.56,64.04,63.52,68.7,1009,24,1.01,246,1.99,4,0.0,0,clear sky
2024,11,5,19:00:00,63.59,60.96,60.17,65.91,1009,28,1.23,249,2.57,46,0.0,0,scattered clouds
2024,11,5,20:00:00,61.0,58.3,58.17,63.7,1009,32,1.7,148,2.71,64,0.0,0,broken clouds
2024,11,5,21:00:00,60.64,57.87,56.25,62.82,1009,31,3.96,131,5.12,73,0.0,0,broken clouds
2024,11,5,22:00:00,58.82,56.05,54.61,61.27,1009,35,2.77,119,4.29,78,0.0,0,broken clouds
2024,11,6,00:00:00,57.11,54.03,52.45,59.54,1008,32,6.91,100,,20,0.0,0,few clouds
2024,11,6,01:00:00,55.85,52.97,51.75,58.53,1008,39,0.36,180,1.72,56,0.0,0,broken clouds
2024,11,6,02:00:00,55.02,52.02,50.52,57.11,1008,38,1.01,123,4.0,44,0.0,0,scattered clouds
2024,11,6,03:00:00,54.43,51.31,49.21,56.26,1008,37,0.67,307,1.36,49,0.0,0,scattered clouds
2024,11,6,04:00:00,52.65,49.64,48.51,56.16,1008,43,0.69,308,1.45,51,0.0,0,broken clouds
2024,11,6,05:00:00,53.83,50.9,49.14,56.84,1008,42,1.39,282,1.5,37,0.0,0,scattered clouds
2024,11,6,06:00:00,53.91,50.83,49.55,56.91,1009,39,1.68,257,1.9,88,0.0,0,overcast clouds
2024,11,6,07:00:00,54.72,51.73,50.45,57.6,1009,39,1.34,276,2.75,89,0.0,0,overcast clouds
2024,11,6,08:00:00,56.48,53.65,53.15,58.86,1010,39,1.01,49,3.0,66,0.0,0,broken clouds
2024,11,6,09:00:00,58.51,55.76,56.14,60.49,1011,36,5.01,271,8.01,75,0.0,0,broken clouds
2024,11,6,10:00:00,59.56,56.8,57.11,61.83,1012,34,5.01,197,13.0,75,0.0,0,broken clouds
