Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,4,23:00:00,46.0,41.09,41.81,49.01,1026,90,10.0,359,18.01,100,0.0,0,overcast clouds
2024,11,5,00:00:00,47.25,42.12,43.21,50.02,1025,89,11.5,190,,100,0.0,0,overcast clouds
2024,11,5,01:00:00,48.38,44.8,43.79,51.1,1025,89,8.01,359,20.0,100,0.0,0,overcast clouds
2024,11,5,02:00:00,49.23,46.26,44.8,51.94,1024,90,7.0,359,21.99,100,0.0,0,overcast clouds
2024,11,5,03:00:00,49.91,46.65,45.79,52.09,1023,90,8.01,359,18.01,100,0.0,0,overcast clouds
2024,11,5,04:00:00,49.69,46.36,45.84,51.82,1023,91,8.05,210,18.41,100,0.0,0,overcast clouds
2024,11,5,05:00:00,49.23,49.23,46.02,51.1,1022,93,1.99,228,10.0,100,0.0,0,overcast clouds
2024,11,5,06:00:00,49.15,46.8,46.8,51.06,1021,94,5.75,220,,100,0.0,0,mist
2024,11,5,07:00:00,49.14,46.18,46.85,51.06,1021,94,6.91,220,,100,0.0,0,overcast clouds
2024,11,5,08:00:00,49.75,46.92,47.79,51.1,1021,94,6.91,220,,100,0.0,0,overcast clouds
2024,11,5,09:00:00,51.08,50.31,49.12,52.41,1021,94,3.0,359,8.99,88,0.0,0,overcast clouds
2024,11,5,10:00:00,52.03,51.31,50.2,53.06,1020,93,3.0,255,8.01,92,0.0,0,overcast clouds
2024,11,5,11:00:00,54.23,53.64,51.96,56.23,1019,91,3.0,268,8.01,93,0.0,0,overcast clouds
2024,11,5,12:00:00,57.31,56.44,54.82,59.07,1018,79,5.99,359,10.0,90,0.0,0,overcast clouds
2024,11,5,13:00:00,60.01,59.32,56.08,62.02,1018,77,3.0,359,10.0,86,0.0,0,overcast clouds
2024,11,5,14:00:00,62.74,62.2,57.97,65.14,1017,74,10.36,240,,20,0.0,0,few clouds
2024,11,5,15:00:00,62.89,62.4,58.8,65.95,1016,75,6.91,230,,20,0.0,0,few clouds
2024,11,5,16:00:00,61.2,60.67,56.8,64.29,1016,78,5.99,359,11.01,20,0.0,0,few clouds
2024,11,5,17:00:00,56.68,55.94,53.8,60.22,1015,83,1.01,200,4.0,21,0.0,0,few clouds
2024,11,5,18:00:00,54.64,53.71,52.12,57.96,1015,83,4.61,180,,0,0.0,0,clear sky
2024,11,5,19:00:00,54.5,53.89,51.82,57.97,1015,90,5.75,210,,0,0.0,0,clear sky
2024,11,5,20:00:00,55.51,54.9,52.92,58.23,1015,88,3.44,190,,0,0.0,0,clear sky
2024,11,5,21:00:00,55.96,55.49,53.53,60.22,1014,90,1.01,258,4.0,0,0.0,0,clear sky
2024,11,5,22:00:00,56.52,56.05,53.82,60.22,1014,89,5.01,359,10.0,100,0.0,0,overcast clouds
2024,11,5,23:00:00,58.24,57.81,55.53,62.08,1014,86,5.99,359,11.01,100,0.0,0,overcast clouds
2024,11,6,00:00:00,59.4,59.04,55.9,63.23,1013,85,7.0,359,17.0,100,0.0,0,overcast clouds
2024,11,6,02:00:00,58.84,58.23,56.08,62.02,1012,81,6.91,230,,0,0.0,0,clear sky
2024,11,6,03:00:00,59.16,58.5,56.86,61.56,1012,79,3.0,257,7.0,41,0.0,0,scattered clouds
2024,11,6,04:00:00,59.27,58.66,55.81,62.02,1012,80,5.99,359,11.99,27,0.0,0,scattered clouds
2024,11,6,05:00:00,59.02,58.75,56.08,61.95,1012,88,5.01,359,11.99,20,0.0,0,few clouds
2024,11,6,06:00:00,58.8,58.6,55.81,61.0,1011,90,1.99,207,7.0,16,0.0,0,few clouds
2024,11,6,07:00:00,59.67,59.52,56.82,62.01,1011,89,5.99,359,15.99,14,0.0,0,few clouds
2024,11,6,08:00:00,62.24,62.2,59.92,64.85,1011,86,7.0,359,15.01,4,0.0,0,clear sky
2024,11,6,09:00:00,65.88,65.73,63.82,68.41,1011,76,5.99,255,15.01,6,0.0,0,clear sky
2024,11,6,10:00:00,68.81,68.86,65.82,71.53,1010,74,7.0,248,15.01,21,0.0,0,few clouds
2024,11,6,11:00:00,71.31,71.47,69.73,74.41,1009,71,10.36,240,17.27,40,0.0,0,scattered clouds
