Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,4,20:00:00,47.66,47.66,45.09,49.98,1025,89,1.99,210,5.01,100,0.0,0,overcast clouds
2024,11,4,21:00:00,47.07,43.65,44.31,49.24,1025,90,7.0,263,8.99,65,0.0,0,broken clouds
2024,11,4,22:00:00,45.95,41.32,43.18,48.2,1025,91,9.22,280,,75,0.0,0,broken clouds
2024,11,4,23:00:00,44.87,43.88,42.31,47.55,1025,92,3.0,281,11.01,100,0.0,0,overcast clouds
2024,11,5,00:00:00,44.8,42.85,42.15,47.55,1025,92,4.0,284,8.01,100,0.0,0,overcast clouds
2024,11,5,01:00:00,44.35,40.37,41.58,46.94,1024,92,7.0,268,11.01,0,0.0,0,clear sky
2024,11,5,02:00:00,43.77,40.89,41.36,46.58,1025,93,5.01,269,10.0,100,0.0,0,overcast clouds
2024,11,5,03:00:00,43.79,43.79,41.36,46.45,1025,93,1.99,261,8.01,100,0.0,0,overcast clouds
2024,11,5,04:00:00,43.75,43.75,41.36,46.54,1026,94,1.99,289,5.99,100,0.0,0,overcast clouds
2024,11,5,05:00:00,43.99,42.42,41.61,46.54,1026,94,3.44,90,,0,0.0,0,clear sky
2024,11,5,06:00:00,44.26,41.47,41.74,46.8,1026,93,5.01,261,8.01,75,0.0,0,broken clouds
2024,11,5,07:00:00,44.67,42.71,42.17,47.1,1026,93,4.0,274,8.01,75,0.0,0,broken clouds
2024,11,5,08:00:00,45.61,44.71,43.38,47.61,1026,93,3.0,266,7.0,96,0.0,0,overcast clouds
2024,11,5,09:00:00,46.99,45.39,45.1,48.94,1027,92,4.0,233,8.01,100,0.0,0,overcast clouds
2024,11,5,10:00:00,48.52,47.16,46.53,50.56,1027,91,4.0,263,4.0,100,0.0,0,overcast clouds
2024,11,5,11:00:00,49.78,48.2,47.8,51.84,1027,89,4.61,220,,100,0.0,0,overcast clouds
2024,11,5,12:00:00,51.19,50.14,49.01,53.46,1027,88,3.0,267,7.0,100,0.0,0,overcast clouds
2024,11,5,13:00:00,52.86,51.8,49.57,55.11,1027,84,4.61,80,,100,0.0,0,overcast clouds
2024,11,5,14:00:00,52.45,51.24,49.53,54.95,1027,82,3.44,0,,100,0.18,0,light rain
2024,11,5,15:00:00,51.31,50.18,48.0,54.48,1027,86,1.99,121,5.01,100,0.0,0,overcast clouds
2024,11,5,16:00:00,50.76,49.62,47.68,53.65,1027,87,1.99,123,3.0,100,0.0,0,overcast clouds
2024,11,5,17:00:00,49.35,49.35,46.92,51.66,1027,90,1.99,63,5.99,100,0.0,0,overcast clouds
2024,11,5,18:00:00,48.29,48.29,46.0,50.05,1027,91,0.0,0,,100,0.0,0,overcast clouds
