Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,3,14:00:00,42.87,37.06,40.06,46.0,1011,60,10.36,310,,100,0.0,0.0,overcast clouds
2024,11,3,15:00:00,43.0,36.03,40.33,45.3,1012,56,13.8,340,20.71,100,0.0,0.0,overcast clouds
2024,11,3,16:00:00,42.67,35.98,39.56,45.27,1013,56,12.66,340,17.27,40,0.0,0.0,scattered clouds
2024,11,3,17:00:00,40.93,34.2,38.68,42.84,1014,64,11.5,340,,75,0.0,0.0,broken clouds
2024,11,3,18:00:00,39.13,32.41,36.28,41.04,1015,70,10.36,350,,75,0.0,0.0,broken clouds
2024,11,3,19:00:00,36.91,30.2,34.41,39.24,1016,73,9.22,360,,75,0.0,0.0,broken clouds
2024,11,3,20:00:00,35.74,29.37,33.22,38.88,1018,73,8.05,310,,0,0.0,0.0,clear sky
2024,11,3,21:00:00,34.92,29.07,32.22,38.07,1019,73,6.91,10,,20,0.0,0.0,few clouds
2024,11,3,22:00:00,35.13,27.45,31.87,38.07,1020,73,10.36,350,,40,0.0,0.0,scattered clouds
2024,11,3,23:00:00,35.1,27.95,31.71,37.85,1020,75,9.22,340,,75,0.0,0.0,broken clouds
2024,11,4,00:00:00,33.8,25.79,30.94,36.84,1021,77,10.36,350,,20,0.0,0.0,few clouds
2024,11,4,01:00:00,33.21,25.63,29.21,36.48,1021,77,9.22,290,,40,0.0,0.0,scattered clouds
2024,11,4,02:00:00,33.13,33.13,28.72,36.3,1022,78,1.99,73,3.0,20,0.0,0.0,few clouds
2024,11,4,03:00:00,31.93,28.65,27.72,35.73,1023,79,3.44,10,,0,0.0,0.0,clear sky
2024,11,4,04:00:00,31.35,24.78,26.76,34.88,1023,80,6.91,320,,0,0.0,0.0,clear sky
2024,11,4,05:00:00,30.65,23.16,26.73,34.59,1024,83,8.05,310,,0,0.0,0.0,clear sky
2024,11,4,06:00:00,30.94,24.28,27.01,33.87,1025,81,6.91,300,,0,0.0,0.0,clear sky
2024,11,4,07:00:00,30.92,24.26,26.49,34.07,1026,80,6.91,290,,20,0.0,0.0,few clouds
2024,11,4,08:00:00,33.06,28.69,28.83,35.94,1026,76,4.61,330,,20,0.0,0.0,few clouds
2024,11,4,09:00:00,36.57,29.77,32.99,39.85,1025,73,9.22,320,,20,0.0,0.0,few clouds
2024,11,4,10:00:00,39.4,32.29,36.77,42.19,1024,67,11.5,310,,20,0.0,0.0,few clouds
2024,11,4,11:00:00,42.12,35.28,38.91,44.49,1024,60,12.66,320,,20,0.0,0.0,few clouds
2024,11,4,12:00:00,43.75,37.74,41.0,46.38,1023,54,11.5,330,16.11,20,0.0,0.0,few clouds
2024,11,4,13:00:00,44.4,38.55,41.76,47.23,1022,51,11.5,340,,40,0.0,0.0,scattered clouds
2024,11,4,14:00:00,45.0,39.7,42.91,47.48,1020,49,10.36,330,,40,0.0,0.0,scattered clouds
2024,11,4,15:00:00,45.25,39.61,42.44,47.46,1020,46,11.5,300,,75,0.0,0.0,broken clouds
2024,11,4,16:00:00,44.01,40.68,41.56,46.49,1020,50,5.75,330,,75,0.0,0.0,broken clouds
2024,11,4,17:00:00,42.4,42.4,39.92,44.98,1021,51,1.99,281,5.99,0,0.0,0.0,clear sky
2024,11,4,18:00:00,38.3,36.45,36.28,41.07,1022,61,3.0,70,4.0,5,0.0,0.0,clear sky
2024,11,4,19:00:00,36.5,30.97,34.21,39.61,1021,64,6.91,130,,20,0.0,0.0,few clouds
2024,11,4,20:00:00,36.23,29.97,33.21,38.91,1021,62,8.05,120,,40,0.0,0.0,scattered clouds
2024,11,4,21:00:00,37.33,31.3,33.6,40.23,1020,60,8.05,120,,75,0.0,0.0,broken clouds
2024,11,4,22:00:00,39.6,32.52,35.76,42.06,1019,57,11.5,130,,100,0.0,0.0,overcast clouds
2024,11,4,23:00:00,40.15,32.79,36.3,42.84,1018,57,12.66,170,16.11,100,0.0,0.0,overcast clouds
2024,11,5,00:00:00,40.28,33.39,36.88,42.6,1018,58,11.5,180,,100,0.0,0.0,overcast clouds
2024,11,5,01:00:00,40.15,32.04,37.29,42.46,1017,60,14.97,160,24.16,100,0.0,0.0,overcast clouds
2024,11,5,02:00:00,40.14,31.68,37.65,42.03,1018,62,16.11,160,25.32,100,0.0,0.0,overcast clouds
2024,11,5,03:00:00,40.06,30.67,37.8,42.03,1019,62,19.57,160,24.16,100,0.0,0.0,overcast clouds
2024,11,5,04:00:00,40.19,31.42,37.8,42.08,1019,62,17.27,180,,100,0.0,0.0,overcast clouds
2024,11,5,05:00:00,40.21,34.81,37.98,42.03,1018,63,8.05,190,,100,0.0,0.0,overcast clouds
2024,11,5,06:00:00,39.76,33.69,37.29,41.94,1018,67,9.22,200,,100,0.0,0.0,overcast clouds
2024,11,5,07:00:00,38.82,34.54,36.01,41.18,1018,73,5.75,230,,100,1.22,0.0,moderate rain
2024,11,5,08:00:00,37.62,34.0,35.42,40.75,1018,82,4.61,150,,75,0.0,0.48,light snow
2024,11,5,09:00:00,37.83,35.38,35.8,40.75,1019,81,3.44,110,,75,0.0,0.0,broken clouds
2024,11,5,10:00:00,38.46,29.19,36.34,40.73,1019,72,17.27,310,24.16,100,0.0,0.0,overcast clouds
2024,11,5,11:00:00,38.1,28.72,35.55,40.73,1018,64,17.27,300,26.46,75,0.0,0.0,broken clouds
2024,11,5,12:00:00,38.62,29.08,35.69,41.09,1018,59,18.41,350,28.77,75,0.0,0.0,broken clouds
2024,11,5,13:00:00,37.56,28.36,34.93,41.09,1017,68,16.11,20,,75,0.0,0.0,broken clouds
2024,11,5,14:00:00,37.36,27.14,35.71,40.59,1016,70,19.57,340,29.93,100,0.0,0.0,overcast clouds
2024,11,5,15:00:00,36.3,30.74,34.0,39.58,1016,71,6.91,20,,75,0.0,0.0,broken clouds
2024,11,5,16:00:00,35.49,32.11,32.61,38.34,1017,72,4.0,34,8.99,100,0.12,0.0,light rain
2024,11,5,17:00:00,33.66,22.28,31.55,35.65,1017,80,19.57,360,32.21,100,0.0,0.0,overcast clouds
2024,11,5,18:00:00,32.83,27.41,30.56,34.74,1018,83,5.75,350,,75,0.0,0.0,broken clouds
2024,11,5,19:00:00,32.27,26.74,30.13,33.91,1019,83,5.75,260,,75,0.0,0.0,broken clouds
2024,11,5,20:00:00,32.02,27.46,29.55,34.38,1020,84,4.61,330,,75,0.0,0.0,broken clouds
2024,11,5,21:00:00,32.18,28.27,29.77,34.86,1021,85,4.0,5,7.0,75,0.0,0.0,broken clouds
2024,11,5,22:00:00,31.93,27.36,29.66,34.86,1022,83,4.61,300,,40,0.0,0.0,scattered clouds
2024,11,6,00:00:00,31.98,22.48,27.93,34.88,1023,80,12.66,320,,100,0.0,0.0,overcast clouds
2024,11,6,01:00:00,31.91,23.43,27.93,34.88,1023,80,10.36,310,,100,0.0,0.0,overcast clouds
2024,11,6,02:00:00,31.75,26.13,28.06,33.94,1024,79,5.75,340,,75,0.0,0.0,broken clouds
2024,11,6,03:00:00,30.58,21.78,27.12,33.73,1024,79,10.36,310,,75,0.0,0.0,broken clouds
2024,11,6,04:00:00,29.95,19.9,26.73,33.06,1025,78,12.66,300,,40,0.0,0.0,scattered clouds
2024,11,6,05:00:00,29.53,25.23,25.83,32.88,1026,79,4.0,52,5.01,75,0.0,0.0,broken clouds
2024,11,6,06:00:00,28.58,24.82,25.29,31.95,1026,80,3.44,310,,20,0.0,0.0,few clouds
2024,11,6,07:00:00,28.11,20.88,24.87,30.94,1027,80,6.91,320,,20,0.0,0.0,few clouds
2024,11,6,08:00:00,29.41,20.32,25.83,32.68,1027,78,10.36,300,,20,0.0,0.0,few clouds
2024,11,6,09:00:00,33.6,22.21,30.9,36.48,1027,71,19.57,310,25.32,20,0.0,0.0,few clouds
2024,11,6,10:00:00,36.39,27.63,33.55,39.49,1026,65,13.8,300,,20,0.0,0.0,few clouds
2024,11,6,11:00:00,38.68,29.8,35.67,41.49,1025,57,16.11,300,27.63,20,0.0,0.0,few clouds
2024,11,6,12:00:00,40.82,32.56,37.76,43.48,1025,50,16.11,310,,20,0.0,0.0,few clouds
2024,11,6,13:00:00,42.04,33.55,39.56,44.49,1024,47,18.41,310,23.02,20,0.0,0.0,few clouds
2024,11,6,14:00:00,42.69,33.6,39.9,45.27,1023,44,21.85,300,33.38,40,0.0,0.0,scattered clouds
2024,11,6,15:00:00,43.05,35.13,40.1,45.82,1023,43,17.27,310,24.16,0,0.0,0.0,clear sky
2024,11,6,16:00:00,42.53,34.18,39.76,45.12,1024,42,18.41,300,24.16,75,0.0,0.0,broken clouds
2024,11,6,17:00:00,40.32,32.61,37.47,42.6,1025,44,13.8,300,,40,0.0,0.0,scattered clouds
2024,11,6,18:00:00,38.01,30.54,35.67,40.17,1027,47,11.5,330,17.27,20,0.0,0.0,few clouds
2024,11,6,19:00:00,36.75,31.28,33.75,39.24,1028,49,6.91,90,,0,0.0,0.0,clear sky
2024,11,6,20:00:00,36.01,27.57,32.61,39.0,1028,47,12.66,340,,0,0.0,0.0,clear sky
2024,11,6,21:00:00,34.92,30.85,31.26,37.98,1029,50,4.61,250,,0,0.0,0.0,clear sky
2024,11,6,22:00:00,33.42,27.27,28.87,36.18,1029,52,6.91,280,,0,0.0,0.0,clear sky
2024,11,6,23:00:00,32.36,29.14,27.75,34.99,1029,55,3.44,260,,0,0.0,0.0,clear sky
2024,11,7,00:00:00,30.54,23.81,26.01,33.89,1029,61,6.91,310,,0,0.0,0.0,clear sky
2024,11,7,01:00:00,29.64,22.71,25.41,33.06,1030,63,6.91,290,,0,0.0,0.0,clear sky
2024,11,7,02:00:00,29.14,22.12,24.6,32.2,1030,65,6.91,300,,0,0.0,0.0,clear sky
2024,11,7,03:00:00,28.45,20.5,24.33,31.73,1030,67,8.05,310,,0,0.0,0.0,clear sky
2024,11,7,04:00:00,28.11,18.72,23.72,31.73,1030,69,10.36,300,,0,0.0,0.0,clear sky
