Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,3,13:00:00,67.69,67.26,64.74,71.02,1009,66,11.5,300,,40,0,0,scattered clouds
2024,11,3,14:00:00,67.87,67.37,64.85,71.42,1009,64,12.66,270,,20,0,0,few clouds
2024,11,3,15:00:00,66.97,66.38,64.72,70.29,1009,64,11.5,320,,20,0,0,few clouds
2024,11,3,16:00:00,65.75,65.08,63.41,68.32,1010,65,12.66,270,,20,0,0,few clouds
2024,11,3,17:00:00,62.94,62.19,60.87,65.17,1010,69,11.01,336,15.01,20,0,0,few clouds
2024,11,3,18:00:00,60.82,59.99,57.58,63.03,1011,72,3.44,30,,0,0,0,clear sky
2024,11,3,19:00:00,59.47,58.59,56.12,61.32,1012,74,3.44,20,,0,0,0,clear sky
2024,11,3,20:00:00,58.23,57.27,54.72,60.17,1013,75,1.99,342,4.0,0,0,0,clear sky
2024,11,3,21:00:00,57.43,56.5,53.33,59.76,1013,77,1.01,115,,0,0,0,clear sky
2024,11,3,22:00:00,56.64,55.63,52.27,59.29,1013,77,3.44,110,,0,0,0,clear sky
2024,11,3,23:00:00,56.12,55.09,52.57,58.75,1014,78,4.61,120,,0,0,0,clear sky
2024,11,4,00:00:00,55.72,54.75,51.57,58.17,1014,80,1.01,122,8.01,0,0,0,clear sky
2024,11,4,01:00:00,55.94,54.95,51.4,57.2,1014,79,1.99,111,8.01,0,0,0,clear sky
2024,11,4,02:00:00,54.93,53.83,51.57,58.21,1014,79,3.44,260,,0,0,0,clear sky
2024,11,4,03:00:00,53.85,52.74,49.77,57.29,1015,81,3.44,90,,0,0,0,clear sky
2024,11,4,04:00:00,52.25,51.17,49.44,57.27,1015,85,9.22,60,,0,0,0,clear sky
2024,11,4,05:00:00,54.3,53.24,49.77,59.29,1016,81,4.61,310,,0,0,0,clear sky
2024,11,4,06:00:00,53.67,52.41,51.6,57.56,1016,78,0.0,0,,0,0,0,clear sky
2024,11,4,07:00:00,54.7,53.49,51.24,59.95,1017,77,5.75,70,,0,0,0,clear sky
2024,11,4,08:00:00,60.87,59.61,58.06,65.17,1018,63,3.44,160,,0,0,0,clear sky
2024,11,4,09:00:00,65.55,64.29,62.56,69.49,1018,53,3.44,300,,0,0,0,clear sky
2024,11,4,10:00:00,69.66,68.34,66.63,73.85,1018,43,5.75,310,,0,0,0,clear sky
2024,11,4,11:00:00,73.15,71.67,68.86,77.16,1018,32,5.75,290,,0,0,0,clear sky
2024,11,4,12:00:00,74.57,73.13,69.85,78.76,1017,30,8.05,280,,0,0,0,clear sky
2024,11,4,13:00:00,74.08,72.99,69.08,78.71,1016,38,13.8,300,,0,0,0,clear sky
2024,11,4,14:00:00,72.72,71.94,68.27,77.85,1016,48,14.97,300,,0,0,0,clear sky
2024,11,4,15:00:00,71.37,70.88,67.41,75.67,1016,57,12.66,310,,0,0,0,clear sky
2024,11,4,16:00:00,69.42,68.85,66.29,72.72,1016,59,11.5,290,,0,0,0,clear sky
2024,11,4,17:00:00,66.07,64.96,63.68,68.18,1016,55,6.91,290,,0,0,0,clear sky
2024,11,4,18:00:00,63.18,61.83,59.77,65.48,1017,56,4.0,256,7.0,0,0,0,clear sky
2024,11,4,19:00:00,61.54,60.21,57.27,63.55,1017,60,4.0,102,7.0,0,0,0,clear sky
2024,11,4,20:00:00,60.28,58.93,55.72,62.56,1017,62,1.99,311,3.0,0,0,0,clear sky
2024,11,4,21:00:00,59.29,57.69,54.18,61.75,1017,59,1.99,253,4.0,0,0,0,clear sky
2024,11,4,22:00:00,59.25,57.65,54.73,62.2,1017,59,3.44,330,,0,0,0,clear sky
2024,11,4,23:00:00,57.69,56.07,54.68,61.3,1017,62,0.0,0,,0,0,0,clear sky
2024,11,5,00:00:00,58.14,56.28,53.96,60.75,1017,56,3.0,115,7.0,0,0,0,clear sky
2024,11,5,01:00:00,56.12,54.25,53.04,60.3,1017,60,6.91,50,,0,0,0,clear sky
2024,11,5,02:00:00,55.33,53.47,51.33,59.76,1016,62,8.05,50,,0,0,0,clear sky
2024,11,5,03:00:00,54.97,53.08,51.33,59.79,1016,62,4.61,50,,0,0,0,clear sky
2024,11,5,04:00:00,55.92,53.89,49.77,60.57,1016,57,5.01,101,8.99,0,0,0,clear sky
2024,11,5,05:00:00,55.15,52.9,49.77,59.56,1016,54,0.0,0,,0,0,0,clear sky
2024,11,5,06:00:00,54.0,51.91,47.97,58.32,1015,60,0.0,0,,0,0,0,clear sky
2024,11,5,07:00:00,57.76,55.63,55.17,62.2,1016,51,0.0,0,,0,0,0,clear sky
2024,11,5,08:00:00,62.92,60.98,59.79,67.17,1016,44,3.44,180,,20,0,0,few clouds
2024,11,5,09:00:00,68.16,66.33,64.85,71.37,1016,35,3.44,220,,20,0,0,few clouds
2024,11,5,10:00:00,71.96,70.21,68.27,75.33,1016,29,4.61,0,,20,0,0,few clouds
2024,11,5,11:00:00,74.03,72.36,69.62,77.72,1016,26,8.05,300,,20,0,0,few clouds
2024,11,5,12:00:00,74.71,73.15,70.18,78.73,1014,27,8.05,270,,40,0,0,scattered clouds
2024,11,5,13:00:00,75.07,73.65,70.25,79.57,1013,29,9.22,280,,40,0,0,scattered clouds
2024,11,5,14:00:00,74.01,72.66,69.76,78.42,1012,33,8.05,320,,40,0,0,scattered clouds
2024,11,5,15:00:00,73.22,71.83,69.3,77.27,1012,34,5.01,285,,1,0,0,clear sky
2024,11,5,16:00:00,70.77,69.62,67.23,74.43,1011,44,5.99,269,8.01,75,0,0,broken clouds
2024,11,5,17:00:00,66.45,65.39,63.75,69.31,1011,55,3.44,310,,75,0,0,smoke
2024,11,5,18:00:00,62.64,61.7,59.72,65.28,1011,66,3.44,340,,75,0,0,broken clouds
2024,11,5,19:00:00,60.98,59.94,57.36,63.21,1011,67,0.0,0,,75,0,0,broken clouds
2024,11,5,20:00:00,59.52,58.37,55.49,62.04,1011,68,3.27,214,3.18,58,0,0,broken clouds
2024,11,5,21:00:00,58.82,57.83,53.73,61.56,1011,73,0.0,0,,40,0,0,scattered clouds
2024,11,5,23:00:00,57.4,56.23,53.37,59.79,1009,72,3.44,90,,75,0,0,broken clouds
2024,11,6,00:00:00,56.55,55.0,53.13,59.79,1009,66,6.91,60,,40,0,0,scattered clouds
2024,11,6,01:00:00,56.41,55.13,54.03,58.78,1010,72,0.0,0,,40,0,0,scattered clouds
2024,11,6,02:00:00,56.23,54.55,53.04,59.56,1009,64,1.01,88,3.0,75,0,0,broken clouds
2024,11,6,03:00:00,54.95,53.15,51.57,58.32,1009,64,3.44,20,,75,0,0,broken clouds
2024,11,6,04:00:00,55.4,53.55,49.77,59.56,1009,62,0.0,0,,75,0,0,broken clouds
