Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,3,13:00:00,68.36,66.83,64.83,71.69,1017,41,14.97,280,,20,0.0,0,few clouds
2024,11,3,14:00:00,68.97,67.5,65.39,72.86,1017,41,16.11,300,32.21,0,0.0,0,clear sky
2024,11,3,15:00:00,68.31,66.87,64.15,72.52,1017,43,23.02,290,,20,0.0,0,few clouds
2024,11,3,16:00:00,66.87,65.41,62.1,71.47,1017,46,21.85,290,,20,0.0,0,few clouds
2024,11,3,17:00:00,64.22,62.69,60.08,68.49,1017,50,18.41,290,,0,0.0,0,clear sky
2024,11,3,18:00:00,62.17,60.67,58.17,65.28,1017,55,20.71,290,,0,0.0,0,clear sky
2024,11,3,19:00:00,60.67,59.31,57.06,63.52,1018,61,14.97,290,,0,0.0,0,clear sky
2024,11,3,20:00:00,59.2,57.83,55.98,62.1,1018,64,8.99,360,13.0,0,0.0,0,clear sky
2024,11,3,21:00:00,58.32,56.86,54.28,61.52,1019,64,10.36,290,,0,0.0,0,clear sky
2024,11,3,22:00:00,57.72,56.34,53.47,61.45,1019,67,11.5,290,,0,0.0,0,clear sky
2024,11,3,23:00:00,57.83,56.37,53.47,61.56,1019,65,5.99,303,8.99,0,0.0,0,clear sky
2024,11,4,00:00:00,58.6,56.84,54.46,61.45,1019,57,8.01,315,11.01,0,0.0,0,clear sky
2024,11,4,01:00:00,58.77,56.73,54.25,61.36,1019,51,4.61,350,,0,0.0,0,clear sky
2024,11,4,02:00:00,57.97,55.78,52.84,60.62,1020,49,3.0,0,8.01,0,0.0,0,clear sky
2024,11,4,03:00:00,57.09,54.72,52.29,60.08,1020,47,1.01,27,7.0,0,0.0,0,clear sky
2024,11,4,04:00:00,56.88,54.57,51.82,59.58,1020,49,4.61,160,,0,0.0,0,clear sky
2024,11,4,05:00:00,55.67,53.47,50.74,58.71,1021,54,4.61,160,,0,0.0,0,clear sky
2024,11,4,06:00:00,54.82,52.54,50.18,58.44,1021,54,5.01,107,8.01,0,0.0,0,clear sky
2024,11,4,07:00:00,55.31,53.31,51.19,58.35,1021,59,4.61,230,,0,0.0,0,clear sky
2024,11,4,08:00:00,57.15,55.18,52.84,60.53,1022,56,1.99,142,4.0,2,0.0,0,clear sky
2024,11,4,09:00:00,61.84,60.17,58.17,64.45,1022,52,5.01,96,5.99,0,0.0,0,clear sky
2024,11,4,10:00:00,65.32,63.52,62.37,68.52,1021,42,5.99,127,10.0,20,0.0,0,few clouds
2024,11,4,11:00:00,67.78,66.06,64.81,71.22,1022,38,6.91,230,,20,0.0,0,few clouds
2024,11,4,12:00:00,69.24,67.8,65.61,73.6,1021,41,4.0,297,8.99,20,0.0,0,few clouds
2024,11,4,13:00:00,70.7,69.21,66.81,75.16,1020,37,6.91,230,,20,0.0,0,few clouds
2024,11,4,14:00:00,70.18,68.72,66.07,75.06,1020,39,16.11,280,,20,0.0,0,few clouds
2024,11,4,15:00:00,71.19,69.84,66.81,76.28,1020,39,14.97,300,,20,0.0,0,few clouds
2024,11,4,16:00:00,69.39,68.14,64.27,75.07,1019,45,14.97,300,,20,0.0,0,few clouds
2024,11,4,17:00:00,65.14,63.93,61.23,70.05,1019,55,12.66,290,,20,0.0,0,few clouds
2024,11,4,18:00:00,61.88,60.44,57.97,65.28,1019,57,14.97,280,,20,0.0,0,few clouds
2024,11,4,19:00:00,59.86,58.46,56.26,63.48,1019,62,14.97,290,,0,0.0,0,clear sky
2024,11,4,20:00:00,58.48,57.13,54.84,62.33,1019,66,16.11,290,,0,0.0,0,clear sky
2024,11,4,21:00:00,57.74,56.5,53.83,61.34,1019,70,13.8,290,,0,0.0,0,clear sky
2024,11,4,22:00:00,56.95,55.81,54.03,60.35,1019,74,17.27,280,,0,0.0,0,clear sky
2024,11,4,23:00:00,56.37,55.33,53.62,60.03,1019,77,17.27,280,,20,0.0,0,few clouds
2024,11,5,00:00:00,55.76,54.7,53.01,59.02,1019,78,14.97,280,,20,0.0,0,few clouds
2024,11,5,01:00:00,54.95,53.91,51.85,58.33,1019,80,14.97,300,,40,0.0,0,scattered clouds
2024,11,5,02:00:00,54.16,53.13,51.48,57.43,1020,82,17.27,290,,20,0.0,0,few clouds
2024,11,5,03:00:00,53.42,52.47,50.56,56.34,1019,85,17.27,280,,40,0.0,0,scattered clouds
2024,11,5,04:00:00,52.72,51.73,49.82,55.98,1019,86,14.97,290,,75,0.0,0,broken clouds
2024,11,5,05:00:00,52.39,51.42,49.82,55.35,1020,87,12.66,290,,40,0.0,0,scattered clouds
2024,11,5,06:00:00,52.0,51.03,49.15,55.36,1019,88,4.61,280,,40,0.0,0,scattered clouds
2024,11,5,07:00:00,51.96,50.99,49.06,55.18,1020,88,5.75,290,,75,0.0,0,broken clouds
2024,11,5,08:00:00,53.65,52.86,50.83,57.18,1020,88,3.44,190,,75,0.0,0,broken clouds
2024,11,5,09:00:00,57.83,57.13,54.5,61.25,1020,81,5.01,95,8.01,75,0.0,0,broken clouds
2024,11,5,10:00:00,62.35,61.48,59.23,65.46,1020,68,5.01,96,7.0,75,0.0,0,broken clouds
2024,11,5,11:00:00,65.55,64.53,62.83,68.58,1019,58,5.01,68,10.0,100,0.0,0,overcast clouds
2024,11,5,12:00:00,67.32,66.33,64.02,71.6,1018,55,3.44,30,,75,0.0,0,broken clouds
2024,11,5,13:00:00,69.21,67.95,65.07,73.22,1018,45,0.0,0,,75,0.0,0,broken clouds
2024,11,5,14:00:00,69.31,67.96,65.07,73.94,1017,43,13.8,290,,75,0.0,0,broken clouds
2024,11,5,15:00:00,69.6,68.23,65.84,74.28,1016,42,7.29,269,7.83,100,0.0,0,overcast clouds
2024,11,5,16:00:00,68.27,66.81,63.61,74.32,1016,43,17.27,290,,75,0.0,0,broken clouds
2024,11,5,17:00:00,65.08,63.7,61.27,70.05,1016,51,16.11,290,,75,0.0,0,broken clouds
2024,11,5,18:00:00,61.75,60.26,57.97,65.66,1016,56,16.11,290,,75,0.0,0,broken clouds
2024,11,5,19:00:00,60.94,59.41,55.87,64.33,1015,57,13.8,290,,75,0.0,0,broken clouds
2024,11,5,20:00:00,61.59,59.85,55.62,64.81,1015,51,13.8,290,,40,0.0,0,scattered clouds
2024,11,5,21:00:00,61.79,59.79,56.61,65.44,1015,45,11.5,280,,40,0.0,0,scattered clouds
2024,11,5,23:00:00,64.06,61.75,59.59,66.36,1015,34,17.27,350,23.02,40,0.0,0,scattered clouds
2024,11,6,00:00:00,63.93,61.63,59.85,66.15,1015,34,19.57,350,,40,0.0,0,scattered clouds
2024,11,6,01:00:00,63.34,60.93,59.92,65.32,1014,33,27.63,360,36.82,40,0.0,0,scattered clouds
2024,11,6,02:00:00,62.28,59.7,58.89,64.36,1014,32,21.85,360,,20,0.0,0,few clouds
2024,11,6,03:00:00,60.96,58.35,57.92,62.83,1014,34,20.71,360,29.93,20,0.0,0,few clouds
2024,11,6,04:00:00,59.65,56.97,57.16,61.36,1014,35,13.0,23,32.01,24,0.0,0,few clouds
2024,11,6,05:00:00,58.5,55.69,55.15,60.31,1014,35,11.99,330,23.0,2,0.0,0,clear sky
2024,11,6,06:00:00,57.51,54.7,53.92,59.76,1015,37,8.99,35,14.0,1,0.0,0,clear sky
2024,11,6,07:00:00,57.02,54.07,53.92,58.98,1016,35,11.99,338,18.01,20,0.0,0,few clouds
2024,11,6,08:00:00,58.23,55.35,55.24,60.39,1016,34,11.01,77,25.99,1,0.0,0,clear sky
2024,11,6,09:00:00,60.57,57.83,58.01,63.1,1017,32,20.71,360,,40,0.0,0,scattered clouds
2024,11,6,10:00:00,62.98,60.33,60.31,65.41,1016,29,14.97,10,,20,0.0,0,few clouds
2024,11,6,11:00:00,64.99,62.42,62.24,67.66,1016,26,23.02,40,,20,0.0,0,few clouds
2024,11,6,12:00:00,66.16,63.7,63.55,68.85,1016,26,19.57,50,,20,0.0,0,few clouds
2024,11,6,13:00:00,67.15,64.71,64.83,69.89,1016,24,23.02,40,,20,0.0,0,few clouds
2024,11,6,14:00:00,68.0,65.59,65.46,70.61,1016,23,19.57,40,,20,0.0,0,few clouds
2024,11,6,15:00:00,68.4,66.02,65.82,70.83,1016,23,19.57,40,,20,0.0,0,few clouds
2024,11,6,16:00:00,67.39,64.96,65.16,69.89,1016,24,20.71,30,,20,0.0,0,few clouds
2024,11,6,17:00:00,65.41,62.92,63.23,67.44,1016,27,17.27,30,,20,0.0,0,few clouds
2024,11,6,18:00:00,62.96,60.28,59.83,65.32,1016,28,13.8,60,,0,0.0,0,clear sky
2024,11,6,19:00:00,61.41,58.66,56.88,64.06,1017,30,11.5,50,,0,0.0,0,clear sky
2024,11,6,20:00:00,60.24,57.61,56.48,62.51,1017,35,6.91,100,,0,0.0,0,clear sky
