Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,3,14:00:00,52.59,51.49,50.27,54.75,1022,84,5.75,180,,75,0.0,0,broken clouds
2024,11,3,15:00:00,52.66,51.53,50.34,54.61,1022,83,6.91,190,,0,0.0,0,clear sky
2024,11,3,16:00:00,51.57,50.41,49.57,53.38,1023,85,8.05,160,,75,0.0,0,broken clouds
2024,11,3,17:00:00,50.23,48.99,48.15,52.02,1023,86,6.91,130,,75,0.0,0,broken clouds
2024,11,3,18:00:00,49.5,46.13,46.92,51.26,1023,88,8.05,120,,75,0.0,0,broken clouds
2024,11,3,19:00:00,48.97,46.58,46.4,51.01,1023,90,5.75,150,,75,0.0,0,broken clouds
2024,11,3,20:00:00,48.79,45.77,45.88,50.97,1023,90,6.91,150,,100,0.0,0,overcast clouds
2024,11,3,21:00:00,48.58,48.07,45.93,50.68,1023,90,3.0,192,8.01,94,0.0,0,overcast clouds
2024,11,3,22:00:00,48.88,44.53,46.15,50.61,1023,88,10.36,180,,100,0.0,0,overcast clouds
2024,11,3,23:00:00,48.96,43.92,46.4,50.61,1023,88,12.66,190,,100,0.0,0,overcast clouds
2024,11,4,00:00:00,49.35,44.76,46.89,51.22,1023,88,11.5,190,,100,0.0,0,overcast clouds
2024,11,4,01:00:00,49.82,45.34,47.32,51.17,1022,87,11.5,180,,100,0.0,0,overcast clouds
2024,11,4,02:00:00,49.77,44.35,47.52,51.62,1022,87,14.97,190,,100,3.35,0,moderate rain
2024,11,4,03:00:00,49.14,43.54,46.94,51.01,1021,88,14.97,180,,100,0.25,0,light rain
2024,11,4,04:00:00,49.21,43.93,46.89,51.04,1019,86,13.8,180,,100,0.0,0,overcast clouds
2024,11,4,05:00:00,49.57,44.38,46.85,51.62,1018,83,13.8,140,,100,0.0,0,overcast clouds
2024,11,4,06:00:00,50.18,48.65,47.17,52.11,1016,80,20.71,190,31.07,100,0.0,0,overcast clouds
2024,11,4,07:00:00,48.09,42.21,46.08,49.93,1012,87,14.97,160,,100,0.87,0,light rain
2024,11,4,08:00:00,46.99,41.34,45.16,48.92,1013,91,13.0,119,21.99,100,4.6,0,heavy intensity rain
2024,11,4,09:00:00,47.14,40.73,45.36,48.92,1013,92,15.99,104,20.0,100,1.63,0,moderate rain
2024,11,4,10:00:00,47.8,39.99,46.22,50.0,1011,93,24.0,213,25.01,100,0.0,0,mist
2024,11,4,11:00:00,50.02,49.05,47.71,52.92,1011,92,24.16,200,37.98,100,0.0,0,overcast clouds
2024,11,4,12:00:00,52.88,52.05,50.07,55.96,1011,89,19.57,190,39.12,100,0.0,0,overcast clouds
2024,11,4,13:00:00,55.4,54.5,52.27,57.67,1012,82,24.16,230,35.68,20,0.0,0,few clouds
2024,11,4,14:00:00,55.9,54.91,52.79,58.24,1013,79,16.11,230,33.38,20,0.0,0,few clouds
2024,11,4,15:00:00,55.2,53.94,52.29,57.51,1013,75,12.66,230,27.63,40,0.0,0,scattered clouds
2024,11,4,16:00:00,54.16,52.75,51.37,56.12,1014,74,13.8,250,26.46,40,0.0,0,scattered clouds
