Year,Month,Day,Time,Temperature (F),Feels Like (F),Temp Min (F),Temp Max (F),Pressure,Humidity,Wind Speed,Wind Deg,Wind Gust,Clouds All,Rain (1h),Snow (1h),Weather_description
2024,11,3,17:00:00,57.34,54.37,53.24,59.36,1029,34,6.91,90,,20,0.0,0.0,few clouds
2024,11,3,18:00:00,52.92,49.84,48.76,55.24,1030,41,3.44,110,,0,0.0,0.0,clear sky
2024,11,3,19:00:00,49.46,49.46,45.45,52.39,1030,46,0.0,0,,0,0.0,0.0,clear sky
2024,11,3,20:00:00,47.89,47.89,44.56,50.81,1030,51,1.01,31,3.0,0,0.0,0.0,clear sky
2024,11,3,21:00:00,46.63,46.63,41.95,49.21,1031,53,1.01,320,1.99,0,0.0,0.0,clear sky
2024,11,3,22:00:00,44.98,42.6,40.75,47.41,1031,59,4.61,120,,0,0.0,0.0,clear sky
2024,11,3,23:00:00,44.83,43.39,39.81,47.44,1031,64,3.44,110,,0,0.0,0.0,clear sky
2024,11,4,00:00:00,44.55,42.1,39.22,48.11,1031,71,4.61,110,,0,0.0,0.0,clear sky
2024,11,4,01:00:00,44.58,44.58,39.4,48.11,1030,79,1.01,360,1.99,0,0.0,0.0,clear sky
2024,11,4,02:00:00,44.13,42.58,39.4,47.25,1030,82,3.44,120,,0,0.0,0.0,clear sky
2024,11,4,03:00:00,43.79,39.76,38.64,46.35,1030,84,6.91,60,,20,0.0,0.0,few clouds
2024,11,4,04:00:00,43.05,43.05,38.64,46.47,1030,87,0.0,0,,0,0.0,0.0,clear sky
2024,11,4,05:00:00,42.44,41.11,37.76,45.84,1031,88,3.02,108,9.26,72,0.0,0.0,broken clouds
2024,11,4,06:00:00,41.99,40.14,37.99,44.96,1031,89,3.44,10,,0,0.0,0.0,clear sky
2024,11,4,07:00:00,41.68,41.68,37.9,43.21,1032,91,0.0,0,,0,0.0,0.0,clear sky
2024,11,4,08:00:00,45.45,44.1,42.24,47.28,1032,88,3.44,50,,0,0.0,0.0,clear sky
2024,11,4,09:00:00,50.2,48.87,46.81,52.75,1032,84,5.75,70,,0,0.0,0.0,clear sky
2024,11,4,10:00:00,54.84,53.55,51.78,57.18,1032,75,9.22,110,,0,0.0,0.0,clear sky
2024,11,4,11:00:00,57.72,56.44,55.09,60.03,1031,69,5.75,200,,75,0.0,0.0,broken clouds
2024,11,4,12:00:00,58.96,57.7,56.95,61.21,1030,67,5.75,130,,75,0.0,0.0,broken clouds
2024,11,4,13:00:00,60.78,59.47,58.24,63.1,1028,62,8.05,200,,75,0.0,0.0,broken clouds
2024,11,4,14:00:00,61.39,60.1,58.93,63.21,1028,61,8.05,190,,75,0.0,0.0,broken clouds
2024,11,4,15:00:00,61.59,60.31,59.41,63.34,1027,61,5.75,180,,75,0.0,0.0,broken clouds
2024,11,4,16:00:00,61.2,59.94,58.93,62.74,1027,62,6.91,180,,75,0.0,0.0,broken clouds
2024,11,4,17:00:00,59.54,58.35,56.86,61.2,1027,67,6.91,190,,75,0.0,0.0,broken clouds
2024,11,4,18:00:00,56.95,55.78,53.98,59.09,1027,73,4.61,140,,40,0.0,0.0,scattered clouds
2024,11,4,19:00:00,55.96,54.82,52.41,58.8,1027,76,3.44,150,,100,0.0,0.0,overcast clouds
2024,11,4,20:00:00,56.55,55.53,52.93,58.68,1026,77,4.61,170,,100,0.0,0.0,overcast clouds
2024,11,4,21:00:00,56.55,55.62,52.99,58.84,1026,79,0.0,0,,100,0.0,0.0,overcast clouds
2024,11,4,22:00:00,56.97,56.17,53.15,59.09,1026,81,4.61,160,,100,0.0,0.0,overcast clouds
2024,11,4,23:00:00,55.09,54.3,51.69,57.76,1026,85,4.61,160,,0,0.0,0.0,clear sky
2024,11,5,00:00:00,53.83,53.06,50.34,56.25,1025,88,4.61,160,,0,0.0,0.0,clear sky
