YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
1931,1,1,,,,,,,,,,,,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,1,9,,,,,,,,,,,,,,,,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,1,17,,,,,,,,,,,,,,,,,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,1,25,,,,,,,,,,,,,,,,,35.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,2,1,,,,,,,,,,,,,,,,,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,2,9,,,,,,,,,,,,,,,,,34.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,2,17,,,,,,,,,,,,,,,,,36.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,2,25,,,,,,,,,,,,,,,,,37.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,3,1,,,,,,,,,,,,,,,,,40.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,3,9,,,,,,,,,,,,,,,,,34.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,3,17,,,,,,,,,,,,,,,,,48.379999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,3,25,,,,,,,,,,,,,,,,,51.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,4,1,,,,,,,,,,,,,,,,,53.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,4,9,,,,,,,,,,,,,,,,,59.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,4,17,,,,,,,,,,,,,,,,,59.540000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,4,25,,,,,,,,,,,,,,,,,51.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,5,1,,,,,,,,,,,,,,,,,64.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,5,9,,,,,,,,,,,,,,,,,69.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,5,17,,,,,,,,,,,,,,,,,61.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,5,25,,,,,,,,,,,,,,,,,68.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,6,1,,,,,,,,,,,,,,,,,71.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,6,9,,,,,,,,,,,,,,,,,73.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,6,17,,,,,,,,,,,,,,,,,64.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
