YEAR,MONTH,DAY,ACMC,ACMH,ACSC,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
1942,8,1,,,,,,,,,,,,,,,,,,,73.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,9,,,,,,,,,,,,,,,,,,,67.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,17,,,,,,,,,,,,,,,,,,,65.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,25,,,,,,,,,,,,,,,,,,,71.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,9,1,,,,,,,,,,,,,,,,,,,71.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,9,9,,,,,,,,,,,,,,,,,,,62.959999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,9,17,,,,,,,,,,,,,,,,,,,66.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,9,25,,,,,,,,,,,,,,,,,,,75.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,10,1,,,,,,,,,,,,,,,,,,,57.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,10,9,,,,,,,,,,,,,,,,,,,51.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,10,17,,,,,,,,,,,,,,,,,,,52.879999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,10,25,,,,,,,,,,,,,,,,,,,56.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,11,1,,,,,,,,,,,,,,,,,,,42.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,11,9,,,,,,,,,,,,,,,,,,,44.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,11,17,,,,,,,,,,,,,,,,,,,33.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,11,25,,,,,,,,,,,,,,,,,,,52.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,12,1,,,,,,,,,,,,,,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,12,9,,,,,,,,,,,,,,,,,,,28.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,12,17,,,,,,,,,,,,,,,,,,,29.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,12,25,,,,,,,,,,,,,,,,,,,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,1,1,,,,,,,,,,,,,,,,,,,32.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,1,9,,,,,,,,,,,,,,,,,,,17.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,1,17,,,,,,,,,,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,1,25,,,,,,,,,,,,,,,,,,,29.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,2,1,,,,,,,,,,,,,,,,,,,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,2,9,,,,,,,,,,,,,,,,,,,36.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,2,17,,,,,,,,,,,,,,,,,,,22.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,2,25,,,,,,,,,,,,,,,,,,,12.740000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,3,1,,,,,,,,,,,,,,,,,,,23.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,3,9,,,,,,,,,,,,,,,,,,,21.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,3,17,,,,,,,,,,,,,,,,,,,31.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,3,25,,,,,,,,,,,,,,,,,,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,4,1,,,,,,,,,,,,,,,,,,,55.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,4,9,,,,,,,,,,,,,,,,,,,32.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,4,17,,,,,,,,,,,,,,,,,,,34.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,4,25,,,,,,,,,,,,,,,,,,,43.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,5,1,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,5,9,,,,,,,,,,,,,,,,,,,68.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,5,17,,,,,,,,,,,,,,,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,5,25,,,,,,,,,,,,,,,,,,,66.74000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
