YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WV03
1969,6,1,50.0,50.0,,,,,,,-9999.0,0.0,67.0,,,,0.0,0.0,,89.96000000000001,71.96,558.0,200.0,,,-9999.0,,67.0,,,-9999.0,1.0,-9999.0,-9999.0,,,,,-9999.0,,,,,,,-9999.0,,,,
1969,6,2,,,,,,,,,-9.0,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,-9.0,,,,,-9.0,0.0,-9.0,,,,,,-9.0,,,,,,,,,,,
1969,6,3,70.0,60.0,,,,,,,999.0,46.0,57.0,,,,0.0,0.0,,84.91999999999999,62.059999999999995,480.0,320.0,,,999.0,,63.0,,,999.0,1.0,999.0,1.0,,,,,999.0,,,,,,,1.0,,,,
1969,6,4,,,,,,,,,110.0,,,,,,0.0,0.0,,,,,,,,11.0,,,,,9.0,,-999.0,,,,,,-999.0,,,,,,,,,,,
1969,6,6,90.0,100.0,,,,,,,906.0,323.0,0.0,,,,0.0,0.0,,66.02,60.08,0.0,60.0,,,,,67.0,,,103.0,9999.0,9999.0,9999.0,,,,,9999.0,,,,,,,1.0,,,,
1969,6,7,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,-99.0,-99.0,,,,,-99.0,,,,,,,,,,,
1969,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,,,,,99.0,,,,,,,99.0,,,,
1969,6,9,20.0,30.0,,,,,,,1206.0,0.0,92.0,,,,0.0,0.0,,86.0,57.92,768.0,100.0,,,135.0,,40.0,,,46.0,1.0,-9999.0,-9999.0,,,,,-9999.0,,,,,,,-9999.0,,,,
1969,6,10,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,0.0,-9.0,-9.0,,,,,,,,,,,,-9.0,,,,
1969,6,11,40.0,60.0,,,,,,,600.0,0.0,61.0,,,,0.0,0.0,,86.0,60.08,516.0,130.0,,,,,67.0,,,77.0,1.0,999.0,999.0,,,,,1.0,,,,,,,999.0,,,,
1969,6,12,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,-999.0,-999.0,,,,,0.0,,,,,,,-999.0,,,,
1969,6,13,,,,,,,,,9.0,,,,,,,,,,,,,,,9.0,,,,,9.0,,9.0,,,,,,,,,,,,,,,,,
1969,6,14,20.0,30.0,,,,,,,1400.0,0.0,93.0,,,,0.0,0.0,,93.02,66.02,780.0,320.0,,,,,40.0,,,46.0,1.0,1.0,9999.0,,,,,1.0,,,,,,,9999.0,,,,
1969,6,15,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,-99.0,,,,,0.0,,,,,,,-99.0,,,,
1969,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,,,,,,,,,,,,99.0,,,,
1969,6,17,20.0,40.0,,,,,,,1554.0,0.0,91.0,,,,0.0,0.0,,89.96000000000001,68.0,762.0,160.0,,,135.0,,80.0,,,93.0,1.0,-9999.0,-9999.0,,,,,-9999.0,,,,,,,-9999.0,,,,
