YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
1948,7,1,,,,,,,,,,,,-9999.0,,,,-9999.0,-9999.0,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,,,,,
1948,7,2,,,,,,,,,,,,-9.0,,,,-9.0,-9.0,,30.38,30.38,,,,,,,,,,,,,-9.0,,-9.0,,,,,-9.0,,,,,,-9.0,,,,,,
1948,7,3,,,,,,,,,,,,999.0,,,,999.0,999.0,,211.82,211.82,,,,,,,,,,,,,999.0,,999.0,,,,,999.0,,,,,,999.0,,,,,,
1948,7,4,,,,,,,,,,,,-999.0,,,,-999.0,-999.0,,-147.82,-147.82,,,,,,,,,,,,,-999.0,,-999.0,,,,,-999.0,,,,,,-999.0,,,,,,
1948,7,6,,,,,,,,,,,,9999.0,,,,9999.0,9999.0,,1831.8200000000002,1831.8200000000002,,,,,,,,,,,,,9999.0,,9999.0,,,,,9999.0,,,,,,9999.0,,,,,,
1948,7,7,,,,,,,,,,,,-99.0,,,,-99.0,-99.0,,14.18,14.18,,,,,,,,,,,,,-99.0,,-99.0,,,,,-99.0,,,,,,-99.0,,,,,,
1948,7,8,,,,,,,,,,,,99.0,,,,99.0,99.0,,49.82,49.82,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,99.0,,,,,,
1948,7,9,,,,,,,,,,,,-9999.0,,,,-9999.0,-9999.0,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,,,,,
1948,7,10,,,,,,,,,,,,-9.0,,,,-9.0,-9.0,,30.38,30.38,,,,,,,,,,,,,-9.0,,-9.0,,,,,-9.0,,,,,,-9.0,,,,,,
1948,7,11,,,,,,,,,,,,999.0,,,,999.0,999.0,,211.82,211.82,,,,,,,,,,,,,999.0,,999.0,,,,,999.0,,,,,,999.0,,,,,,
1948,7,12,,,,,,,,,,,,-999.0,,,,-999.0,-999.0,,-147.82,-147.82,,,,,,,,,,,,,-999.0,,-999.0,,,,,-999.0,,,,,,-999.0,,,,,,
1948,7,14,,,,,,,,,,,,9999.0,,,,9999.0,9999.0,,1831.8200000000002,1831.8200000000002,,,,,,,,,,,,,9999.0,,9999.0,,,,,9999.0,,,,,,9999.0,,,,,,
1948,7,15,,,,,,,,,,,,-99.0,,,,-99.0,-99.0,,14.18,14.18,,,,,,,,,,,,,-99.0,,-99.0,,,,,-99.0,,,,,,-99.0,,,,,,
1948,7,16,,,,,,,,,,,,99.0,,,,99.0,99.0,,49.82,49.82,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,99.0,,,,,,
1948,7,17,,,,,,,,,,,,-9999.0,,,,-9999.0,-9999.0,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,,,,,
1948,7,18,,,,,,,,,,,,-9.0,,,,-9.0,-9.0,,30.38,30.38,,,,,,,,,,,,,-9.0,,-9.0,,,,,-9.0,,,,,,-9.0,,,,,,
1948,7,19,,,,,,,,,,,,999.0,,,,999.0,999.0,,211.82,211.82,,,,,,,,,,,,,999.0,,999.0,,,,,999.0,,,,,,999.0,,,,,,
1948,7,20,,,,,,,,,,,,-999.0,,,,-999.0,-999.0,,-147.82,-147.82,,,,,,,,,,,,,-999.0,,-999.0,,,,,-999.0,,,,,,-999.0,,,,,,
1948,7,22,,,,,,,,,,,,9999.0,,,,9999.0,9999.0,,1831.8200000000002,1831.8200000000002,,,,,,,,,,,,,9999.0,,9999.0,,,,,9999.0,,,,,,9999.0,,,,,,
1948,7,23,,,,,,,,,,,,-99.0,,,,-99.0,-99.0,,14.18,14.18,,,,,,,,,,,,,-99.0,,-99.0,,,,,-99.0,,,,,,-99.0,,,,,,
1948,7,24,,,,,,,,,,,,99.0,,,,99.0,99.0,,49.82,49.82,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,99.0,,,,,,
1948,7,25,,,,,,,,,,,,-9999.0,,,,-9999.0,-9999.0,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,,,,,
1948,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,-9.0,,,,,,,,,,,,
1948,7,27,,,,,,,,,,,,15.0,,,,0.0,0.0,,73.94,64.04,,,,,,,,,,,,,1.0,,999.0,,,,,999.0,,,,,,1.0,,,,,,
1948,7,30,,,,,,,,,,,,,,,,0.0,0.0,,84.91999999999999,69.98,,,,,,,,,,,,,9999.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,
1948,8,1,,,,,,,,,,,,168.0,,,,0.0,0.0,,73.94,69.98,,,,,,,,,,,,,1.0,,-9999.0,,,,,1.0,,,,,,1.0,,,,,,
1948,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,
1948,8,3,,,,,,,,,,,,0.0,,,,0.0,0.0,,78.98,68.0,,,,,,,,,,,,,1.0,,999.0,,,,,1.0,,,,,,999.0,,,,,,
1948,8,6,,,,,,,,,,,,3.0,,,,0.0,0.0,,75.02,69.08,,,,,,,,,,,,,1.0,,9999.0,,,,,1.0,,,,,,1.0,,,,,,
1948,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,
1948,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,
1948,8,9,,,,,,,,,,,,0.0,,,,0.0,0.0,,73.94,62.059999999999995,,,,,,,,,,,,,1.0,,-9999.0,,,,,1.0,,,,,,1.0,,,,,,
1948,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,
1948,8,11,,,,,,,,,,,,0.0,,,,0.0,0.0,,78.08,59.0,,,,,,,,,,,,,999.0,,999.0,,,,,1.0,,,,,,999.0,,,,,,
1948,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,-999.0,,,,,,
1948,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,
