YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
1946,10,1,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,2,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,3,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,4,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,6,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,7,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,8,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,9,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,10,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,11,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,12,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,13,,,,,,,,,,,,,,,,,33.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,17,,,,,,,,,,,,,,,,,57.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,10,25,,,,,,,,,,,,,,,,,60.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,11,1,,,,,,,,,,,,,,,,,49.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,11,9,,,,,,,,,,,,,,,,,43.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,11,17,,,,,,,,,,,,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,11,25,,,,,,,,,,,,,,,,,51.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,12,1,,,,,,,,,,,,,,,,,30.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,12,9,,,,,,,,,,,,,,,,,38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,12,17,,,,,,,,,,,,,,,,,34.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,12,25,,,,,,,,,,,,,,,,,29.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1,1,,,,,,,,,,,,,,,,,10.940000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1,9,,,,,,,,,,,,,,,,,19.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1,17,,,,,,,,,,,,,,,,,36.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1,25,,,,,,,,,,,,,,,,,27.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,2,1,,,,,,,,,,,,,,,,,16.520000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,2,9,,,,,,,,,,,,,,,,,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,2,17,,,,,,,,,,,,,,,,,20.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,2,25,,,,,,,,,,,,,,,,,30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,3,1,,,,,,,,,,,,,,,,,24.439999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,3,9,,,,,,,,,,,,,,,,,30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,3,17,,,,,,,,,,,,,,,,,34.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,3,25,,,,,,,,,,,,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,4,1,,,,,,,,,,,,,,,,,49.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,4,9,,,,,,,,,,,,,,,,,44.239999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,4,17,,,,,,,,,,,,,,,,,53.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,4,25,,,,,,,,,,,,,,,,,36.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,5,1,,,,,,,,,,,,,,,,,51.620000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,5,9,,,,,,,,,,,,,,,,,45.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,5,17,,,,,,,,,,,,,,,,,55.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,5,25,,,,,,,,,,,,,,,,,59.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,6,1,,,,,,,,,,,,,,,,,62.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,6,9,,,,,,,,,,,,,,,,,69.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,6,17,,,,,,,,,,,,,,,,,63.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,6,25,,,,,,,,,,,,,,,,,57.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,7,1,,,,,,,,,,,,,,,,,73.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,7,9,,,,,,,,,,,,,,,,,68.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,7,17,,,,,,,,,,,,,,,,,75.74000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,7,25,,,,,,,,,,,,,,,,,73.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,8,1,,,,,,,,,,,,,,,,,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,8,9,,,,,,,,,,,,,,,,,94.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,8,16,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,8,17,,,,,,,,,,,,,,,,,88.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,8,25,,,,,,,,,,,,,,,,,79.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,9,1,,,,,,,,,,,,,,,,,79.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,9,9,,,,,,,,,,,,,,,,,81.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,9,14,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,9,15,,,,,,,,,,,,,,,,,32.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,9,17,,,,,,,,,,,,,,,,,82.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,9,25,,,,,,,,,,,,,,,,,68.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,10,1,,,,,,,,,,,,,,,,,51.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,10,9,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
