YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT12,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
1936,5,1,,,,,,,,,,,,,,,,,57.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,5,9,,,,,,,,,,,,,,,,,51.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,5,17,,,,,,,,,,,,,,,,,66.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,5,25,,,,,,,,,,,,,,,,,55.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,6,1,,,,,,,,,,,,,,,,,56.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,6,9,,,,,,,,,,,,,,,,,64.75999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,6,17,,,,,,,,,,,,,,,,,66.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,6,25,,,,,,,,,,,,,,,,,64.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,1,,,,,,,,,,,,,,,,,68.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,3,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,4,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,6,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,7,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,8,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,9,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,10,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,11,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,12,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,14,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,15,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,16,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,17,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,18,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,19,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,20,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,22,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,23,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,24,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,25,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,26,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,27,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,28,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,30,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,31,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,1,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,2,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,3,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,4,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,6,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,7,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,8,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,9,,,,,,,,,,,,,,,,,74.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,17,,,,,,,,,,,,,,,,,69.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,8,25,,,,,,,,,,,,,,,,,64.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,9,1,,,,,,,,,,,,,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,9,9,,,,,,,,,,,,,,,,,66.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,9,17,,,,,,,,,,,,,,,,,55.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,9,25,,,,,,,,,,,,,,,,,59.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,10,1,,,,,,,,,,,,,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,10,9,,,,,,,,,,,,,,,,,59.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,10,17,,,,,,,,,,,,,,,,,60.980000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,10,25,,,,,,,,,,,,,,,,,56.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,11,1,,,,,,,,,,,,,,,,,43.519999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,11,9,,,,,,,,,,,,,,,,,47.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,11,17,,,,,,,,,,,,,,,,,36.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,11,25,,,,,,,,,,,,,,,,,45.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,12,1,,,,,,,,,,,,,,,,,29.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,12,9,,,,,,,,,,,,,,,,,52.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,12,17,,,,,,,,,,,,,,,,,38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,12,25,,,,,,,,,,,,,,,,,44.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,1,1,,,,,,,,,,,,,,,,,33.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,1,9,,,,,,,,,,,,,,,,,22.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,1,17,,,,,,,,,,,,,,,,,25.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,1,25,,,,,,,,,,,,,,,,,33.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,2,1,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,2,9,,,,,,,,,,,,,,,,,35.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,2,17,,,,,,,,,,,,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,2,25,,,,,,,,,,,,,,,,,43.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,3,1,,,,,,,,,,,,,,,,,46.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,3,9,,,,,,,,,,,,,,,,,48.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,3,17,,,,,,,,,,,,,,,,,53.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,3,25,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,4,1,,,,,,,,,,,,,,,,,47.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,4,9,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,4,17,,,,,,,,,,,,,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,4,25,,,,,,,,,,,,,,,,,47.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,5,1,,,,,,,,,,,,,,,,,56.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,5,9,,,,,,,,,,,,,,,,,57.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,5,17,,,,,,,,,,,,,,,,,55.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,5,25,,,,,,,,,,,,,,,,,58.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,6,1,,,,,,,,,,,,,,,,,68.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,6,9,,,,,,,,,,,,,,,,,65.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,6,17,,,,,,,,,,,,,,,,,58.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,6,25,,,,,,,,,,,,,,,,,58.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,7,1,,,,,,,,,,,,,,,,,68.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,7,9,,,,,,,,,,,,,,,,,64.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,7,17,,,,,,,,,,,,,,,,,67.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,7,25,,,,,,,,,,,,,,,,,70.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,8,1,,,,,,,,,,,,,,,,,60.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,8,9,,,,,,,,,,,,,,,,,64.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,8,17,,,,,,,,,,,,,,,,,72.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,8,25,,,,,,,,,,,,,,,,,64.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,9,1,,,,,,,,,,,,,,,,,64.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,9,9,,,,,,,,,,,,,,,,,62.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,9,17,,,,,,,,,,,,,,,,,65.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,9,25,,,,,,,,,,,,,,,,,64.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,10,1,,,,,,,,,,,,,,,,,53.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,10,9,,,,,,,,,,,,,,,,,53.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,10,17,,,,,,,,,,,,,,,,,59.540000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,10,25,,,,,,,,,,,,,,,,,57.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,12,1,,,,,,,,,,,,,,,,,38.660000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,12,9,,,,,,,,,,,,,,,,,35.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,12,17,,,,,,,,,,,,,,,,,42.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,12,25,,,,,,,,,,,,,,,,,48.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1,1,,,,,,,,,,,,,,,,,34.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1,9,,,,,,,,,,,,,,,,,32.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1,17,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1,25,,,,,,,,,,,,,,,,,43.879999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,1,,,,,,,,,,,,,,,,,33.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,9,,,,,,,,,,,,,,,,,39.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,17,,,,,,,,,,,,,,,,,40.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,25,,,,,,,,,,,,,,,,,36.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,3,1,,,,,,,,,,,,,,,,,48.379999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,3,9,,,,,,,,,,,,,,,,,40.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,3,17,,,,,,,,,,,,,,,,,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,3,25,,,,,,,,,,,,,,,,,43.879999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,1,,,,,,,,,,0.0,,,,,,,,64.04,37.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,2,,,,,,,,,,0.0,,,,,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,3,,,,,,,,,,0.0,,,,,,,,62.059999999999995,39.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,4,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,6,,,,,,,,,,28.0,,,,,,,,57.02,44.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,7,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,9,,,,,,,,,,10.0,,,,,,,,62.059999999999995,37.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,10,,,,,,,,,,0.0,,,,,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,11,,,,,,,,,,0.0,,,,,,,,71.96,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,12,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,14,,,,,,,,,,89.0,,,,,,,,57.92,44.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,15,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,17,,,,,,,,,,0.0,,,,,,,,57.92,44.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,18,,,,,,,,,,0.0,,,,,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,19,,,,,,,,,,30.0,,,,,,,,62.959999999999994,44.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,20,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,22,,,,,,,,,,0.0,,,,,,,,64.04,44.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,23,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,25,,,,,,,,,,124.0,,,,,,,,60.08,51.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,26,,,,,,,,,,0.0,,,,,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,27,,,,,,,,,,46.0,,,,,,,,62.959999999999994,55.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,30,,,,,,,,,,20.0,,,,,,,,62.059999999999995,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,4,31,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,5,1,,,,,,,,,,15.0,,,,,,,,57.92,48.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,5,2,,,,,,,,,,0.0,,,,,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
