YEAR,MONTH,DAY,ACMC,ACMH,ACSC,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,GAHT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFI,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFI,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV03,WV07,WV20
1933,6,1,,,,,,,,,,,,,,,,,,,,,,,96.98,55.94,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,2,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,3,,,,,,,,,,,,,,,,,,,,,,,98.96000000000001,66.02,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,6,,,,,,,,,,,,,,,,,,,,,,,95.0,55.04,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,7,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,8,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,9,,,,,,,,,,,,,,,,,,,,,,,86.0,57.02,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,10,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,11,,,,,,,,,,,,,,,,,,,,,,,91.03999999999999,55.94,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,14,,,,,,,,,,,,,,,,,,,,,,,102.91999999999999,60.08,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,17,,,,,,,,,,,,,,,,,,,,,,,114.08000000000001,62.959999999999994,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,18,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,19,,,,,,,,,,,,,,,,,,,,,,,111.91999999999999,66.92,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,22,,,,,,,,,,,,,,,,,,,,,,,105.98,80.96,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,25,,,,,,,,,,,,,,,,,,,,,,,104.0,73.94,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,26,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,27,,,,,,,,,,,,,,,,,,,,,,,102.02,75.92,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,6,30,,,,,,,,,,,,,,,,,,,,,,,105.08000000000001,71.06,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,1,,,,,,,,,,,,,,0.0,,,,,0.0,,,,100.94,69.98,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,2,,,,,,,,,,,,,,,,,,,6.0,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,3,,,,,,,,,,,,,,,,,,,0.0,,,,100.94,75.02,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,4,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,6,,,,,,,,,,,,,,,,,,,0.0,,,,109.03999999999999,78.08,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,7,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,9,,,,,,,,,,,,,,0.0,,,,,0.0,,,,105.08000000000001,78.98,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,10,,,,,,,,,,,,,,,,,,,6.0,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,11,,,,,,,,,,,,,,,,,,,0.0,,,,107.96000000000001,78.08,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,12,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,14,,,,,,,,,,,,,,,,,,,0.0,,,,111.02,78.08,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,15,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,17,,,,,,,,,,,,,,0.0,,,,,0.0,,,,109.03999999999999,78.98,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,18,,,,,,,,,,,,,,,,,,,6.0,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,19,,,,,,,,,,,,,,,,,,,0.0,,,,107.06,84.91999999999999,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
