YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGB,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
1940,11,1,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,-9999.0,,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,2,,,,,,,,,,,,,,-9.0,,,,,-9.0,-9.0,,,30.38,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,3,,,,,,,,,,,,,,999.0,,,,,999.0,999.0,,,211.82,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,4,,,,,,,,,,,,,,-999.0,,,,,-999.0,-999.0,,,-147.82,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,6,,,,,,,,,,,,,,9999.0,,,,,9999.0,9999.0,,,1831.8200000000002,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,7,,,,,,,,,,,,,,-99.0,,,,,-99.0,-99.0,,,14.18,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,8,,,,,,,,,,,,,,99.0,,,,,99.0,99.0,,,49.82,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,9,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,-9999.0,,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,10,,,,,,,,,,,,,,-9.0,,,,,-9.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,11,,,,,,,,,,,,,,999.0,,,,,999.0,999.0,,,46.04,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,12,,,,,,,,,,,,,,-999.0,,,,,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,14,,,,,,,,,,,,,,9999.0,,,,,9999.0,9999.0,,,48.92,26.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,15,,,,,,,,,,,,,,-99.0,,,,,-99.0,-99.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,16,,,,,,,,,,,,,,99.0,,,,,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,17,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,-9999.0,,,51.08,35.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,18,,,,,,,,,,,,,,-9.0,,,,,-9.0,-9.0,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,19,,,,,,,,,,,,,,999.0,,,,,999.0,999.0,,,55.04,46.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,20,,,,,,,,,,,,,,-999.0,,,,,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,11,22,,,,,,,,,,,,,,9999.0,,,,,9999.0,9999.0,,,41.0,37.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
