YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV20
1948,1,1,,,,,,,,,,,119.0,,,,,0.0,0.0,,,51.08,42.08,,,,,,,,,,,,,-9999.0,,,-9999.0,-9999.0,,,-9999.0,,,,,,1.0,,-9999.0,,,,,,
1948,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,,,-9.0,,,,,,,,-9.0,,,,,,
1948,1,3,,,,,,,,,,,150.0,,,,,0.0,0.0,,,44.96,35.96,,,,,,,,,,,,,1.0,,,999.0,999.0,,,999.0,,,,,,1.0,,999.0,,,,,,
1948,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,,,-999.0,,,,,,,,-999.0,,,,,,
1948,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
1948,1,6,,,,,,,,,,,79.0,,,,,0.0,0.0,,,44.96,33.98,,,,,,,,,,,,,9999.0,,,9999.0,9999.0,,,1.0,,,,,,1.0,,9999.0,,,,,,
1948,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,-99.0,-99.0,,,,,,,,,,,-99.0,,,,,,
1948,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,99.0,99.0,,,99.0,,,,,,,,99.0,,,,,,
1948,1,9,,,,,,,,,,,112.0,,,,,-9999.0,-9999.0,,,48.02,39.02,,,,,,,,,,,,,-9999.0,,,-9999.0,-9999.0,,,1.0,,,,,,1.0,,-9999.0,,,,,,
1948,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,,,,,,,,,,,-9.0,,,,,,
1948,1,11,,,,,,,,,,,104.0,,,,,0.0,0.0,,,50.0,39.92,,,,,,,,,,,,,1.0,,,999.0,999.0,,,1.0,,,,,,1.0,,999.0,,,,,,
1948,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,,,,,,,,,,,-999.0,,,,,,
1948,1,14,,,,,,,,,,,30.0,,,,,0.0,0.0,,,50.0,30.92,,,,,,,,,,,,,9999.0,,,9999.0,9999.0,,,9999.0,,,,,,1.0,,9999.0,,,,,,
1948,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,-99.0,-99.0,,,-99.0,,,,,,,,-99.0,,,,,,
1948,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,99.0,99.0,,,99.0,,,,,,,,99.0,,,,,,
1948,1,17,,,,,,,,,,,3.0,,,,,0.0,0.0,,,42.08,32.0,,,,,,,,,,,,,-9999.0,,,-9999.0,1.0,,,1.0,,,,,,1.0,,-9999.0,,,,,,
1948,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,-9.0,,,,,,
1948,1,19,,,,,,,,,,,0.0,,,,,0.0,0.0,,,41.0,26.060000000000002,,,,,,,,,,,,,1.0,,,999.0,999.0,,,1.0,,,,,,999.0,,999.0,,,,,,
1948,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,,,,,,,,,-999.0,,-999.0,,,,,,
1948,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
1948,1,22,,,,,,,,,,,0.0,,,,,0.0,0.0,,,37.94,26.060000000000002,,,,,,,,,,,,,1.0,,,9999.0,9999.0,,,1.0,,,,,,9999.0,,9999.0,,,,,,
1948,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,-99.0,,,,,,,,,-99.0,,-99.0,,,,,,
1948,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,,,,,,,,,99.0,,99.0,,,,,,
1948,1,25,,,,,,,,,,,0.0,,,,,0.0,0.0,,,33.98,28.04,,,,,,,,,,,,,1.0,,,-9999.0,-9999.0,,,1.0,,,,,,1.0,,-9999.0,,,,,,
1948,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,,,,,,,,,,,-9.0,,,,,,
1948,1,27,,,,,,,,,,,,,,,,0.0,0.0,,,35.06,28.94,,,,,,,,,,,,,1.0,,,999.0,999.0,,,1.0,,,,,,1.0,,999.0,,,,,,
1948,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,,,,,,,,,,,-999.0,,,,,,
1948,1,30,,,,,,,,,,,,,,,,0.0,0.0,,,33.98,26.96,,,,,,,,,,,,,1.0,,,9999.0,9999.0,,,1.0,,,,,,1.0,,9999.0,,,,,,
1948,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,-99.0,,,,,,,,,,,-99.0,,,,,,
1948,2,1,,,,,,,,,,,8.0,,,,,0.0,0.0,,,39.02,30.02,,,,,,,,,,,,,1.0,,-9999.0,-9999.0,-9999.0,,,1.0,,,,,,-9999.0,,1.0,,,,,,
1948,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,-9.0,,,,,,,,,-9.0,,,,,,,,
1948,2,3,,,,,,,,,,,0.0,,,,,0.0,0.0,,,42.980000000000004,26.060000000000002,,,,,,,,,,,,,1.0,,999.0,999.0,999.0,,,1.0,,,,,,999.0,,999.0,,,,,,
1948,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,,,,,,,,,,,,,,,,,
1948,2,6,,,,,,,,,,,36.0,,,,,41.0,,,,39.02,30.92,,,,,,,,,,,,,1.0,,9999.0,9999.0,9999.0,,,9999.0,,,,,,1.0,,1.0,,,,,,
1948,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,-99.0,-99.0,,,-99.0,,,,,,,,,,,,,,
1948,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,99.0,99.0,,,99.0,,,,,,99.0,,99.0,,,,,,
1948,2,9,,,,,,,,,,,0.0,,,,,0.0,0.0,,,42.980000000000004,19.939999999999998,,,,,,,,,,,,,-9999.0,,-9999.0,-9999.0,-9999.0,,,1.0,,,,,,-9999.0,,-9999.0,,,,,,
1948,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,-9.0,-9.0,,,,,,,,,,,,,,,,,
1948,2,11,,,,,,,,,,,15.0,,,,,0.0,0.0,,,42.980000000000004,26.96,,,,,,,,,,,,,999.0,,999.0,999.0,999.0,,,1.0,,,,,,1.0,,1.0,,,,,,
1948,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,-999.0,,,,,,,,,,,,,,,,,,
1948,2,14,,,,,,,,,,,,,,,,0.0,0.0,,,44.96,32.0,,,,,,,,,,,,,9999.0,,9999.0,9999.0,9999.0,,,9999.0,,,,,,1.0,,9999.0,,,,,,
1948,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,-99.0,-99.0,,,-99.0,,,,,,,,-99.0,,,,,,
