YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV07,WV20
1952,4,1,,,,,,,,,,,,0.0,,,,,,,,24.98,14.0,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,2,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,3,,,,,,,,,,,,0.0,,,,,,,,33.98,15.979999999999997,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,6,,,,,,,,,,,,0.0,,,,,,,,35.96,3.0199999999999996,-122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,7,,,,,,,,,,,,0.0,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,9,,,,,,,,,,,,0.0,,,,,,,,33.98,6.979999999999997,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,10,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,11,,,,,,,,,,,,0.0,,,,,,,,42.08,26.060000000000002,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,12,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,14,,,,,,,,,,,,10.0,,,,,,,,44.06,33.08,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,15,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,16,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,17,,,,,,,,,,,,0.0,,,,,,,,-1767.8200000000002,21.02,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,18,,,,,,,,,,,,0.0,,,,,,,,30.38,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,19,,,,,,,,,,,,0.0,,,,,,,,211.82,21.92,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,20,,,,,,,,,,,,0.0,,,,,,,,-147.82,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,22,,,,,,,,,,,,0.0,,,,,,,,1831.8200000000002,28.94,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,23,,,,,,,,,,,,0.0,,,,,,,,14.18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,24,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,25,,,,,,,,,,,,69.0,,,,,,,,-1767.8200000000002,28.94,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,26,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,27,,,,,,,,,,,,,,,,,,,,46.04,28.94,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,28,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,30,,,,,,,,,,,,0.0,,,,,,,,42.08,26.96,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,31,,,,,,,,,,,,0.0,,,,,,,,32.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,1,,,,,,,,,,,,0.0,,,,,,,,44.06,26.060000000000002,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,2,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,3,,,,,,,,,,,,0.0,,,,,,,,46.04,28.94,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,6,,,,,,,,,,,,0.0,,,,,,,,50.0,35.06,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,7,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,8,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,9,,,,,,,,,,,,30.0,,,,,,,,-1767.8200000000002,30.92,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,10,,,,,,,,,,,,0.0,,,,,,,,30.38,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,11,,,,,,,,,,,,20.0,,,,,,,,211.82,30.02,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,12,,,,,,,,,,,,0.0,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,14,,,,,,,,,,,,0.0,,,,,,,,1831.8200000000002,32.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,15,,,,,,,,,,,,0.0,,,,,,,,14.18,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,16,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,17,,,,,,,,,,,,0.0,,,,,,,,-1767.8200000000002,33.98,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,18,,,,,,,,,,,,0.0,,,,,,,,30.38,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,19,,,,,,,,,,,,0.0,,,,,,,,211.82,35.06,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,20,,,,,,,,,,,,0.0,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,22,,,,,,,,,,,,0.0,,,,,,,,1831.8200000000002,33.08,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,23,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,25,,,,,,,,,,,,0.0,,,,,,,,53.96,35.96,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,26,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,27,,,,,,,,,,,,,,,,,,,,53.96,33.98,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,28,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,30,,,,,,,,,,,,3.0,,,,,,,,48.02,39.92,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,31,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,1,,,,,,,,,,,,0.0,,,,,,,,51.98,41.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,2,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,3,,,,,,,,,,,,0.0,,,,,,,,53.06,42.08,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,6,,,,,,,,,,,,0.0,,,,,,,,59.0,42.980000000000004,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,7,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,9,,,,,,,,,,,,0.0,,,,,,,,53.06,39.02,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,10,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,11,,,,,,,,,,,,0.0,,,,,,,,51.98,42.08,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,12,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,14,,,,,,,,,,,,0.0,,,,,,,,62.959999999999994,39.02,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,15,,,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,17,,,,,,,,,,,,0.0,,,,,,,,57.02,44.96,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,18,,,,,,,,,,,,,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,19,,,,,,,,,,,,0.0,,,,,,,,53.06,39.02,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,20,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,22,,,,,,,,,,,,0.0,,,,,,,,66.02,46.04,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
