YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV01,WV03,WV20
1945,7,1,,,,,,,,,,,0.0,,,,0.0,,,,73.94,53.96,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,7,2,,,,,,,,,,,0.0,,,,0.0,,,,71.06,53.96,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,7,3,,,,,,,,,,,0.0,,,,0.0,,,,71.96,55.04,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,4,,,,,,,,,,,0.0,,,,0.0,,,,71.96,53.96,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,5,,,,,,,,,,,0.0,,,,0.0,,,,66.02,55.04,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,7,6,,,,,,,,,,,0.0,,,,0.0,,,,64.94,53.96,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,7,,,,,,,,,,,0.0,,,,0.0,,,,68.0,53.96,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,7,8,,,,,,,,,,,0.0,,,,0.0,,,,69.08,53.06,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,9,,,,,,,,,,,3.0,,,,0.0,,,,66.02,55.94,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,1.0,,,,,
1945,7,10,,,,,,,,,,,0.0,,,,0.0,,,,69.08,53.96,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,
1945,7,11,,,,,,,,,,,0.0,,,,0.0,,,,64.94,55.04,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,7,12,,,,,,,,,,,0.0,,,,0.0,,,,64.94,55.94,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,13,,,,,,,,,,,0.0,,,,0.0,,,,64.04,55.04,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,7,14,,,,,,,,,,,0.0,,,,0.0,,,,66.02,53.96,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,7,15,,,,,,,,,,,0.0,,,,0.0,,,,69.98,53.06,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,16,,,,,,,,,,,0.0,,,,0.0,,,,73.94,51.98,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,7,17,,,,,,,,,,,0.0,,,,0.0,,,,77.0,51.08,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,18,,,,,,,,,,,0.0,,,,0.0,,,,64.04,53.96,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,19,,,,,,,,,,,0.0,,,,0.0,,,,64.04,53.96,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,7,20,,,,,,,,,,,0.0,,,,0.0,,,,75.92,48.92,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,21,,,,,,,,,,,0.0,,,,0.0,,,,66.92,53.06,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,22,,,,,,,,,,,0.0,,,,0.0,,,,69.98,57.92,,,,,,,,,,,,,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,7,23,,,,,,,,,,,0.0,,,,0.0,,,,69.08,55.94,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,7,24,,,,,,,,,,,0.0,,,,0.0,,,,68.0,55.94,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
