YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT05,WT07,WT08,WT10,WT11,WT12,WT13,WT14,WT16,WT18,WV03,WV20
1939,6,1,,,,,,,,,,,,,,,,,79.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,2,,,,,,,,,,,,,,,,,77.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,3,,,,,,,,,,,,,,,,,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,4,,,,,,,,,,,,,,,,,78.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,5,,,,,,,,,,,,,,,,,77.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,6,,,,,,,,,,,,,,,,,77.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,7,,,,,,,,,,,,,,,,,78.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,8,,,,,,,,,,,,,,,,,79.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,9,,,,,,,,,,,,,,,,,78.25999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,10,,,,,,,,,,,,,,,,,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,11,,,,,,,,,,,,,,,,,77.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,12,,,,,,,,,,,,,,,,,78.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,13,,,,,,,,,,,,,,,,,78.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,14,,,,,,,,,,,,,,,,,76.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,15,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,16,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,17,,,,,,,,,,,,,,,,,77.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,18,,,,,,,,,,,,,,,,,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,19,,,,,,,,,,,,,,,,,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,20,,,,,,,,,,,,,,,,,79.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,21,,,,,,,,,,,,,,,,,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,22,,,,,,,,,,,,,,,,,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,23,,,,,,,,,,,,,,,,,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,24,,,,,,,,,,,,,,,,,78.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,25,,,,,,,,,,,,,,,,,79.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,6,26,,,,,,,,,,,,,,,,,77.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
