YEAR,MONTH,DAY,TMAX,TMIN,PRCP,SNOW,SNWD,TAVG
1994,7,1,-1767.8200000000002,-1767.8200000000002,-9999.0,,,-1767.8200000000002
1994,7,2,30.38,30.38,-9.0,,,30.38
1994,7,3,211.82,211.82,999.0,,,211.82
1994,7,4,-147.82,-147.82,-999.0,,,-147.82
1994,7,6,1831.82,1831.82,9999.0,,,1831.82
1994,7,7,14.18,14.18,-99.0,,,14.18
1994,7,8,49.82,49.82,99.0,,,49.82
1994,7,9,-1767.8200000000002,-1767.8200000000002,-9999.0,,,-1767.8200000000002
1994,7,10,30.38,30.38,-9.0,,,30.38
1994,7,11,211.82,211.82,999.0,,,211.82
1994,7,12,-147.82,-147.82,-999.0,,,-147.82
1994,7,14,1831.82,1831.82,9999.0,,,1831.82
1994,7,15,14.18,14.18,-99.0,,,14.18
1994,7,16,49.82,49.82,99.0,,,49.82
1994,7,17,-1767.8200000000002,-1767.8200000000002,-9999.0,,,-1767.8200000000002
1994,7,18,30.38,30.38,-9.0,,,30.38
1994,7,19,211.82,211.82,999.0,,,211.82
1994,7,20,-147.82,-147.82,-999.0,,,-147.82
1994,7,22,1831.82,1831.82,9999.0,,,1831.82
1994,7,23,14.18,14.18,-99.0,,,14.18
1994,7,24,49.82,49.82,99.0,,,49.82
1994,7,25,-1767.8200000000002,-1767.8200000000002,-9999.0,,,-1767.8200000000002
1994,7,26,30.38,30.38,-9.0,,,30.38
1994,7,27,211.82,211.82,999.0,,,211.82
1994,7,28,-147.82,-147.82,-999.0,,,-147.82
1994,7,29,,,,,,33.62
1994,7,30,1831.82,1831.82,9999.0,,,
1994,7,31,32.54,32.18,,,,
1994,8,1,90.86,59.0,0.0,,,72.14
1994,8,3,84.91999999999999,60.98,,,,
1994,8,5,,,9.0,,,
1994,8,6,86.9,55.94,,,,
1994,8,8,49.82,,,,,
1994,8,9,-1767.8200000000002,61.88,0.0,,,79.16
1994,8,11,98.96,64.94,,,,
1994,8,14,91.94,63.86,,,,
