YEAR,MONTH,DAY,TMAX,TMIN,PRCP,SNOW,SNWD,TAVG
1938,4,1,-1767.8200000000002,-1767.8200000000002,-9999.0,-9999.0,-9999.0,
1938,4,2,30.38,30.38,-9.0,-9.0,-9.0,
1938,4,3,211.82,211.82,999.0,999.0,999.0,
1938,4,4,-147.82,-147.82,-999.0,-999.0,-999.0,
1938,4,6,1831.82,1831.82,9999.0,9999.0,9999.0,
1938,4,7,14.18,14.18,-99.0,-99.0,-99.0,
1938,4,8,49.82,49.82,99.0,99.0,99.0,
1938,4,9,-1767.8200000000002,-1767.8200000000002,-9999.0,-9999.0,-9999.0,
1938,4,10,30.38,30.38,-9.0,-9.0,-9.0,
1938,4,11,211.82,211.82,999.0,999.0,999.0,
1938,4,12,-147.82,-147.82,-999.0,-999.0,-999.0,
1938,4,13,33.62,33.62,9.0,9.0,9.0,
1938,4,14,51.08,28.94,0.0,0.0,0.0,
1938,4,15,,32.0,0.0,0.0,0.0,
1938,4,17,62.959999999999994,42.98,0.0,0.0,0.0,
1938,4,18,32.0,32.0,0.0,0.0,0.0,
1938,4,19,71.06,37.04,0.0,0.0,0.0,
1938,4,20,,,0.0,0.0,0.0,
1938,4,22,66.92,46.04,267.0,0.0,0.0,
1938,4,23,,32.0,0.0,0.0,0.0,
1938,4,25,55.94,51.08,193.0,0.0,0.0,
1938,4,26,32.0,32.0,0.0,0.0,0.0,
1938,4,27,73.04,51.08,58.0,0.0,0.0,
1938,4,28,,,0.0,0.0,0.0,
1938,4,30,62.959999999999994,33.98,,0.0,0.0,
1938,4,31,,32.0,0.0,0.0,0.0,
1938,5,1,82.04,57.92,0.0,0.0,0.0,
1938,5,2,32.0,32.0,,0.0,0.0,
1938,5,3,84.91999999999999,62.059999999999995,3.0,0.0,0.0,
1938,5,4,,,,0.0,0.0,
1938,5,6,66.92,51.98,221.0,0.0,0.0,
1938,5,7,,32.0,,0.0,0.0,
1938,5,9,44.96,35.96,3.0,0.0,0.0,
1938,5,10,32.0,32.0,0.0,0.0,0.0,
1938,5,11,42.98,35.06,99.0,,0.0,
1938,5,12,,,,0.0,0.0,
1938,5,14,62.059999999999995,41.0,15.0,0.0,0.0,
1938,5,15,,32.0,0.0,0.0,0.0,
1938,5,17,59.0,37.04,0.0,0.0,0.0,
1938,5,18,32.0,32.0,0.0,0.0,0.0,
1938,5,19,64.94,37.04,0.0,0.0,0.0,
1938,5,20,,,,0.0,0.0,
1938,5,22,64.04,44.96,10.0,0.0,0.0,
1938,5,23,,32.0,0.0,0.0,0.0,
1938,5,25,71.06,42.98,3.0,0.0,0.0,
1938,5,26,32.0,32.0,0.0,0.0,0.0,
1938,5,27,55.94,51.98,297.0,0.0,0.0,
1938,5,28,,,,0.0,0.0,
1938,5,30,53.06,48.02,79.0,0.0,0.0,
1938,5,31,,32.0,0.0,0.0,0.0,
1938,6,1,75.92,60.98,3.0,0.0,0.0,
1938,6,2,32.0,32.0,0.0,0.0,0.0,
1938,6,3,78.08,51.98,0.0,0.0,0.0,
1938,6,4,,,,0.0,0.0,
1938,6,6,71.96,55.04,0.0,0.0,0.0,
1938,6,7,,,0.0,0.0,0.0,
1938,6,9,73.04,53.06,0.0,0.0,0.0,
1938,6,10,32.0,32.0,,0.0,0.0,
1938,6,11,68.0,44.96,0.0,0.0,0.0,
1938,6,12,,,0.0,0.0,0.0,
1938,6,14,80.06,57.92,0.0,0.0,0.0,
1938,6,15,,,,0.0,0.0,
1938,6,17,71.06,55.04,0.0,0.0,0.0,
1938,6,18,32.0,32.0,0.0,0.0,0.0,
1938,6,19,75.92,51.08,0.0,0.0,0.0,
1938,6,20,,,,0.0,0.0,
1938,6,22,87.98,62.059999999999995,3.0,0.0,0.0,
1938,6,23,,,,0.0,0.0,
1938,6,25,64.04,55.04,0.0,0.0,0.0,
1938,6,26,32.0,32.0,,0.0,0.0,
1938,6,27,78.98,51.08,0.0,0.0,0.0,
1938,6,28,,,0.0,0.0,0.0,
1938,6,30,84.91999999999999,60.98,0.0,0.0,0.0,
1938,6,31,,,0.0,0.0,0.0,
1938,7,1,78.98,69.08,0.0,0.0,0.0,
1938,7,2,32.0,32.0,,0.0,0.0,
1938,7,3,87.98,69.98,,0.0,0.0,
1938,7,4,,,0.0,0.0,0.0,
1938,7,6,87.08000000000001,66.92,216.0,0.0,0.0,
1938,7,7,,,,0.0,0.0,
