YEAR,MONTH,DAY,TMAX,TMIN,PRCP,SNOW,SNWD,TAVG
1933,6,1,96.98,55.94,,,,
1933,6,2,98.96,66.02,,,,
1933,6,3,96.08,71.06,,,,
1933,6,4,95.0,55.04,,,,
1933,6,5,93.02,62.959999999999994,,,,
1933,6,6,86.0,57.02,,,,
1933,6,7,91.04,55.94,,,,
1933,6,8,98.96,60.98,,,,
1933,6,9,102.92,60.08,,,,
1933,6,10,107.06,60.08,,,,
1933,6,11,114.08,62.959999999999994,,,,
1933,6,12,111.92,66.92,,,,
1933,6,13,107.96,75.92,,,,
1933,6,14,105.98,80.96,,,,
1933,6,15,105.08,78.08,,,,
1933,6,16,104.0,73.94,,,,
1933,6,17,102.02,75.92,,,,
1933,6,18,102.02,78.98,,,,
1933,6,19,105.08,71.06,,,,
1933,6,20,104.0,71.96,,,,
1933,6,21,105.98,77.0,,,,
1933,6,22,107.06,78.98,,,,
1933,6,23,105.98,73.04,,,,
1933,6,24,107.96,68.0,,,,
1933,6,25,107.06,68.0,,,,
1933,6,26,107.96,69.08,,,,
1933,6,27,107.96,68.0,,,,
1933,6,28,100.94,66.92,,,,
1933,6,29,105.08,64.94,,,,
1933,6,30,104.0,64.94,,,,
1933,6,31,-1767.8200000000002,-1767.8200000000002,,,,
1933,7,1,100.94,69.98,0.0,0.0,,
1933,7,2,100.94,75.02,0.0,0.0,,
1933,7,3,107.06,69.98,0.0,0.0,,
1933,7,4,109.04,78.08,0.0,0.0,,
1933,7,5,107.06,77.0,0.0,0.0,,
1933,7,6,105.08,78.98,0.0,0.0,,
1933,7,7,107.96,78.08,0.0,0.0,,
1933,7,8,111.92,75.02,0.0,0.0,,
1933,7,9,111.02,78.08,0.0,0.0,,
1933,7,10,107.96,78.98,0.0,0.0,,
1933,7,11,109.04,78.98,0.0,0.0,,
1933,7,12,107.06,84.91999999999999,0.0,0.0,,
1933,7,13,111.02,82.04,0.0,0.0,,
1933,7,14,109.94,86.0,0.0,0.0,,
1933,7,15,105.08,82.04,0.0,0.0,,
1933,7,16,109.04,82.04,0.0,0.0,,
1933,7,17,100.94,80.96,84.0,0.0,,
1933,7,18,105.98,80.06,0.0,0.0,,
1933,7,19,109.04,78.08,0.0,0.0,,
1933,7,20,111.02,78.08,0.0,0.0,,
1933,7,21,107.96,80.96,3.0,0.0,,
1933,7,22,107.06,78.08,0.0,0.0,,
1933,7,23,111.02,80.06,5.0,0.0,,
1933,7,24,109.94,75.92,0.0,0.0,,
1933,7,25,111.02,80.96,0.0,0.0,,
1933,7,26,113.0,82.94,0.0,0.0,,
1933,7,27,109.94,84.02,0.0,0.0,,
1933,7,28,109.04,80.06,0.0,0.0,,
1933,7,29,107.06,77.0,0.0,0.0,,
1933,7,30,107.06,78.08,0.0,0.0,,
1933,7,31,105.98,78.98,0.0,0.0,,
1933,8,1,102.02,80.96,3.0,,,
1933,8,2,102.02,73.94,0.0,,,
1933,8,3,105.98,73.04,0.0,,,
1933,8,4,105.08,80.06,0.0,,,
1933,8,5,102.92,80.96,0.0,,,
1933,8,6,105.98,77.0,0.0,,,
1933,8,7,98.96,80.96,0.0,,,
1933,8,8,107.96,78.08,0.0,,,
1933,8,9,113.0,78.98,0.0,,,
1933,8,10,116.96,78.98,0.0,,,
1933,8,11,114.08,80.96,0.0,,,
1933,8,12,113.0,80.96,0.0,,,
1933,8,13,111.02,80.06,0.0,,,
1933,8,14,102.02,80.06,0.0,,,
1933,8,15,107.06,75.02,0.0,,,
1933,8,16,109.94,78.08,0.0,,,
1933,8,17,104.0,78.08,0.0,,,
1933,8,18,109.04,75.92,58.0,,,
1933,8,19,100.94,71.96,0.0,,,
1933,8,20,100.94,71.96,0.0,,,
1933,8,21,102.02,77.0,3.0,,,
1933,8,22,102.02,66.92,0.0,,,
1933,8,23,105.98,78.98,0.0,,,
1933,8,24,107.96,73.04,0.0,,,
1933,8,25,102.02,73.94,0.0,,,
1933,8,26,102.02,69.98,0.0,,,
1933,8,27,102.92,73.04,0.0,,,
1933,8,28,105.08,66.02,0.0,,,
1933,8,29,107.96,68.0,0.0,,,
1933,8,30,105.08,78.98,0.0,,,
1933,8,31,107.96,80.96,0.0,,,
1933,9,1,105.08,75.02,0.0,,,
1933,9,2,102.92,75.92,0.0,,,
1933,9,3,104.0,75.92,0.0,,,
1933,9,4,111.02,77.0,0.0,,,
1933,9,5,111.02,80.06,0.0,,,
1933,9,6,109.04,78.98,0.0,,,
1933,9,7,105.98,78.08,0.0,,,
1933,9,8,93.02,73.94,122.0,,,
1933,9,9,93.02,73.04,0.0,,,
1933,9,10,86.0,73.94,23.0,,,
1933,9,11,96.08,69.08,0.0,,,
1933,9,12,98.06,69.08,0.0,,,
1933,9,13,100.04,66.02,0.0,,,
1933,9,14,102.02,66.92,0.0,,,
1933,9,15,100.04,66.92,0.0,,,
1933,9,16,105.98,62.059999999999995,0.0,,,
1933,9,17,100.04,73.04,0.0,,,
1933,9,18,93.92,75.92,13.0,,,
1933,9,19,104.0,69.98,0.0,,,
1933,9,20,100.94,77.0,8.0,,,
1933,9,21,98.06,68.0,0.0,,,
