YEAR,MONTH,DAY,TMAX,TMIN,PRCP,SNOW,SNWD,TAVG
1938,4,9,51.08,28.94,0.0,0.0,0.0,
1938,4,10,66.02,33.98,0.0,0.0,0.0,
1938,4,11,62.959999999999994,42.98,0.0,0.0,0.0,
1938,4,12,71.06,37.04,0.0,0.0,0.0,
1938,4,13,78.08,46.04,0.0,0.0,0.0,
1938,4,14,66.92,46.04,267.0,0.0,0.0,
1938,4,15,53.06,44.96,64.0,0.0,0.0,
1938,4,16,55.94,51.08,193.0,0.0,0.0,
1938,4,17,73.04,51.08,58.0,0.0,0.0,
1938,4,18,71.06,44.96,0.0,0.0,0.0,
1938,4,19,62.959999999999994,33.98,0.0,0.0,0.0,
1938,4,20,57.92,30.92,3.0,0.0,0.0,
1938,4,21,48.02,35.06,25.0,0.0,0.0,
1938,4,22,57.92,30.92,0.0,0.0,0.0,
1938,4,23,48.92,39.02,119.0,0.0,0.0,
1938,4,24,51.98,42.08,10.0,0.0,0.0,
1938,4,25,60.08,39.92,0.0,0.0,0.0,
1938,4,26,80.06,53.06,0.0,0.0,0.0,
1938,4,27,78.08,60.08,36.0,0.0,0.0,
1938,4,28,60.08,39.02,56.0,0.0,0.0,
1938,4,29,57.92,35.06,0.0,0.0,0.0,
1938,4,30,71.96,39.92,0.0,0.0,0.0,
1938,5,1,82.04,57.92,0.0,0.0,0.0,
1938,5,2,84.91999999999999,62.059999999999995,3.0,0.0,0.0,
1938,5,3,82.04,57.92,18.0,0.0,0.0,
1938,5,4,66.92,51.98,221.0,0.0,0.0,
1938,5,5,55.04,35.96,246.0,0.0,0.0,
1938,5,6,44.96,35.96,3.0,0.0,0.0,
1938,5,7,42.98,35.06,99.0,0.0,0.0,
1938,5,8,42.08,35.06,307.0,0.0,0.0,
1938,5,9,62.059999999999995,41.0,15.0,0.0,0.0,
1938,5,10,64.04,42.98,5.0,0.0,0.0,
1938,5,11,59.0,37.04,0.0,0.0,0.0,
1938,5,12,64.94,37.04,0.0,0.0,0.0,
1938,5,13,60.08,44.96,56.0,0.0,0.0,
1938,5,14,64.04,44.96,10.0,0.0,0.0,
1938,5,15,66.02,46.04,3.0,0.0,0.0,
1938,5,16,71.06,42.98,3.0,0.0,0.0,
1938,5,17,55.94,51.98,297.0,0.0,0.0,
1938,5,18,57.02,50.0,254.0,0.0,0.0,
1938,5,19,53.06,48.02,79.0,0.0,0.0,
1938,5,20,62.959999999999994,46.04,0.0,0.0,0.0,
1938,5,21,69.08,50.0,0.0,0.0,0.0,
1938,5,22,71.96,48.02,0.0,0.0,0.0,
1938,5,23,59.0,46.94,0.0,0.0,0.0,
1938,5,24,57.92,39.92,3.0,0.0,0.0,
1938,5,25,66.92,46.94,0.0,0.0,0.0,
1938,5,26,75.02,53.06,33.0,0.0,0.0,
1938,5,27,66.02,55.94,76.0,0.0,0.0,
1938,5,28,75.92,59.0,0.0,0.0,0.0,
1938,5,29,82.04,57.92,0.0,0.0,0.0,
1938,5,30,84.91999999999999,62.959999999999994,0.0,0.0,0.0,
1938,5,31,75.92,64.04,41.0,0.0,0.0,
1938,6,1,75.92,60.98,3.0,0.0,0.0,
1938,6,2,78.08,51.98,0.0,0.0,0.0,
1938,6,3,73.04,60.98,23.0,0.0,0.0,
1938,6,4,71.96,55.04,0.0,0.0,0.0,
1938,6,5,84.02,51.08,0.0,0.0,0.0,
1938,6,6,73.04,53.06,0.0,0.0,0.0,
1938,6,7,68.0,44.96,0.0,0.0,0.0,
1938,6,8,75.02,46.04,0.0,0.0,0.0,
1938,6,9,80.06,57.92,0.0,0.0,0.0,
1938,6,10,69.08,55.04,185.0,0.0,0.0,
1938,6,11,71.06,55.04,0.0,0.0,0.0,
1938,6,12,75.92,51.08,0.0,0.0,0.0,
1938,6,13,75.92,57.02,28.0,0.0,0.0,
1938,6,14,87.98,62.059999999999995,3.0,0.0,0.0,
1938,6,15,73.94,57.02,251.0,0.0,0.0,
1938,6,16,64.04,55.04,0.0,0.0,0.0,
1938,6,17,78.98,51.08,0.0,0.0,0.0,
1938,6,18,82.94,57.02,0.0,0.0,0.0,
1938,6,19,84.91999999999999,60.98,0.0,0.0,0.0,
1938,6,20,86.0,62.959999999999994,0.0,0.0,0.0,
1938,6,21,91.04,66.02,0.0,0.0,0.0,
